# BREADS
<BREAD>WHITE BREAD,1,SLICE,65,12,1,2,0,0.3 ,25,,,,,,,,,,,
<BREAD>WHEAT,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>WHOLE-WHEAT,1,SLICE,70,13,1,3,0,0.4 ,28,,,,,,,,,,,
<BREAD>FRENCH,1,SLICE,100,18,1,3,0,0.3 ,35,,,,,,,,,,,
<BREAD>MIXED GRAIN ,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>RYE BREAD LIGHT,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>CRACKED-WHEAT,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>RAISIN,1,SLICE,65,13,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>ITALIAN,1,SLICE,85,17,0,3,0,0 ,30,,,,,,,,,,,
<BREAD>LEMON POPPYSEED,1,SLICE,160,23,2.3,3.6,61,2.3,25,,,,,,,,,,,
<BREAD>CRUMBS DRY GRATED,1,CUP,390,73,5,13,5,1.5 ,100,,,,,,,,,,,
<BREAD>OATMEAL,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>PITA,1,PITA,165,33,1,6,0,0.1 ,60,,,,,,,,,,,
<BREAD>PUMPERNICKEL ,1,SLICE,80,16,1,3,0,0.2 ,32,,,,,,,,,,,
<BREAD>STUFFING,1,CUP,500,50,31,9,0,6.1 ,140,,,,,,,,,,,
<BREAD>VIENNA ,1,SLICE,70,13,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>WHITE  CRUMBS,1,CUP,120,22,2,4,0,0.6 ,45,,,,,,,,,,,
<BREAD>CROISSANTS ,1,ITM,235,27,12,5,13,3.5 ,57,,,,,,,,,,,
<BREAD>ROLLS DINNER,1,ROLL,85,14,2,2,0,0.5 ,28,,,,,,,,,,,
<BREAD>ROLLS HARD,1,ROLL,155,30,2,5,0,0.4 ,50,,,,,,,,,,,
<BREAD>ROLLS HOAGIE  SUBMARINE,1,ROLL,400,72,8,11,0,1.8 ,135,,,,,,,,,,,
<BREAD>BAGELS EGG,1,ITEM,200,38,2,7,44,0.3 ,68,,,,,,,,,,,
<BREAD>BAGELS PLAIN,1,ITEM,200,38,2,7,0,0.3 ,68,,,,,,,,,,,
