# CAKES
<CAKE>ANGELFOOD,1,PIECE,125,29,0,3,0,0 ,53,,,,,,,,,,,
<CAKE>CARROT CREAMCHEESE,1,PIECE,385,48,21,4,74,4.1 ,96,,,,,,,,,,,
<CAKE>COFFEE,1,PIECE,230,38,7,5,47,2 ,72,,,,,,,,,,,
<CAKE>DEVILS FOOD,1,PIECE,235,40,8,3,37,3.5 ,69,,,,,,,,,,,
<CAKE>FRUIT DARK,1,PIECE,165,25,7,2,20,1.5 ,43,,,,,,,,,,,
<CAKE>GINGERBREAD,1,PIECE,175,32,4,2,1,1.1 ,63,,,,,,,,,,,
<CAKE>POUND,1,SLICE,120,15,5,2,32,1.2 ,30,,,,,,,,,,,
<CAKE>WHITE ,1,PIECE,260,42,9,3,3,2.1 ,71,,,,,,,,,,,
<CAKE>YELLOW,1,PIECE,245,39,11,2,38,5.7 ,69,,,,,,,,,,,
<CAKE>DANISH PASTRY FRUIT,1,PASTRY,235,28,13,4,56,3.9 ,65,,,,,,,,,,,
<CAKE>DANISH PASTRY PLAIN,1,PASTRY,220,26,12,4,49,3.6 ,57,,,,,,,,,,,
<CAKE>SNACK CAKES DEVILS FOOD,1,ITM,105,17,4,1,15,1.7 ,28,,,,,,,,,,,
<CAKE>SNACK CAKES SPONGE CREME,1,ITM,155,27,5,1,7,2.3 ,42,,,,,,,,,,,
<CAKE>DOUGHNUTS CAKE TYPE PLAIN,1,DONUT,210,24,12,3,20,2.8 ,50,,,,,,,,,,,
<CAKE>DOUGHNUTS YEAST-LEAVEND GLZED,1,DONUT,235,26,13,4,21,5.2 ,60,,,,,,,,,,,


