# CEREALS
<CEREAL>ALL-BRAN,1,OZ,70,21,1,4,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>BRAN FLAKES,1,OZ,90,22,1,4,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>CAPN CRUNCH,1,OZ,120,23,3,1,0,1.7 ,28.35,,,,,,,,,,,
<CEREAL>CHEERIOS,1,OZ,110,20,2,4,0,0.3 ,28.35,,,,,,,,,,,
<CEREAL>FROOT LOOPS,1,OZ,110,25,1,2,0,0.2 ,28.35,,,,,,,,,,,
<CEREAL>GOLDEN GRAHAMS,1,OZ,110,24,1,2,0,0.7 ,28.35,,,,,,,,,,,
<CEREAL>GRAPE-NUTS,1,OZ,100,23,0,3,0,0 ,28.35,,,,,,,,,,,
<CEREAL>HONEY NUT CHEERIOS,1,OZ,105,23,1,3,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>LUCKY CHARMS,1,OZ,110,23,1,3,0,0.2 ,28.35,,,,,,,,,,,
<CEREAL>NATURE VALLEY GRANOLA,1,OZ,125,19,5,3,0,3.3 ,28.35,,,,,,,,,,,
<CEREAL>OATS,1,packet,105,19.1,1.7,3.6,0.0,0.4,28,11.4,20,0,38,20,23,3,22,20,0,1,1,10,46,3,3,7
<CEREAL>RICE KRISPIES,1,OZ,110,25,0,2,0,0 ,28.35,,,,,,,,,,,
<CEREAL>SHREDDED WHEAT,1,OZ,100,23,1,3,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>SPECIAL K,1,OZ,110,21,0,6,0,0 ,28.35,,,,,,,,,,,
<CEREAL>SUGAR SMACKS,1,OZ,105,25,1,2,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>SUPER SUGAR CRISP,1,OZ,105,26,0,2,0,0 ,28.35,,,,,,,,,,,
<CEREAL>TOTAL,1,OZ,100,22,1,3,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>TRIX,1,OZ,110,25,0,2,0,0.2 ,28.35,,,,,,,,,,,
<CEREAL>WHEATIES,1,OZ,100,23,0,3,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>RAISIN BRAN KELLOGGS,1,OZ,90,21,1,3,0,0.1 ,28.35,,,,,,,,,,,
<CEREAL>CREAM OF WHEAT,1,CUP,140,29,0,4,0,0.1 ,244,,,,,,,,,,,
<CEREAL>CREAM OF WHEAT,1,PKT,100,21,0,3,0,0 ,142,,,,,,,,,,,
<CEREAL>CRM WHEAT CKD REG INST W/SALT,1,CUP,140,29,0,4,0,0.1 ,244,,,,,,,,,,,
<CEREAL>PORRIDGE OATS,1,PKT,100,18,2,4,0,0.0 ,28,,20,,20,20,20,,20,20,,,,10,45,,,0
<CEREAL>OATMEAL CKD INSTNT PLAIN FORTF,1,PKT,105,18,2,4,0,0.3 ,177,,,,,,,,,,,
<CEREAL>OATMEAL REGULAR,1,CUP,145,25,2,6,0,0.4 ,234,,,,,,,,,,,
<CEREAL>OATMEAL W/ RAISINS COOKIES,4,ITM,245,36,10,3,2,2.5 ,52,,,,,,,,,,,
