# CHEESES
AMERICAN<CHEESE>,1,OZ,105,0,9,6,27,5.6 ,28.35,,,,,,,,,,,
BLUE<CHEESE>,1,OZ,100,1,8,6,21,5.3 ,28.35,,,,,,,,,,,
CAMEMBERT<CHEESE>,1,PIECE,115,0,9,8,27,5.8 ,38,,,,,,,,,,,
CHEDDAR <CHEESE>,1,OZ,115,0,9,7,30,6 ,28.35,,,,,,,,,,,
CHEDDAR SAUCE W/ MILK<CHEESE>,1,CUP,305,23,17,16,53,9.3 ,279,,,,,,,,,,,
CHEDDAR SHREDDED<CHEESE>,1,CUP,455,1,37,28,119,23.8 ,113,,,,,,,,,,,
COTTAGE CREAM<CHEESE>,1,CUP,235,6,10,28,34,6.4 ,225,,,,,,,,,,,
CREAM<CHEESE>,1,OZ,100,1,10,2,31,6.2 ,28.35,,,,,,,,,,,
FETA<CHEESE>,1,OZ,75,1,6,4,25,4.2 ,28.35,,,,,,,,,,,
MOZZARELLA<CHEESE>,1,OZ,80,1,6,6,22,3.7 ,28.35,,,,,,,,,,,
MUENSTER<CHEESE>,1,OZ,105,0,9,7,27,5.4 ,28.35,,,,,,,,,,,
PARMESAN GRATED<CHEESE>,1,OZ,130,1,9,12,22,5.4 ,28.35,,,,,,,,,,,
PROVOLONE<CHEESE>,1,OZ,100,1,8,7,20,4.8 ,28.35,,,,,,,,,,,
AMERICAN SPREAD<CHEESE>,1,OZ,80,2,6,5,16,3.8 ,28.35,,,,,,,,,,,
STRING MOZZARELLA<CHEESE>,1,ITM,80,0,6,7,20,3.5 ,28.0,,,,,,,,,,,
SWISS<CHEESE>,1,OZ,95,1,7,7,24,4.5 ,28.35,,,,,,,,,,,
COTTAGE<CHEESE>,1,CUP,125,3,1,25,10,0.4 ,145,,,,,,,,,,,
