# FISH
CLAM CHOWDER NEW ENG,1,CUP,165,17,7,9,22,3 ,248,,,,,,,,,,,
CLAMS CANNED,3,OZ,85,2,2,13,54,0.5 ,85,,,,,,,,,,,
CLAMS RAW,3,OZ,65,2,1,11,43,0.3 ,85,,,,,,,,,,,
CRAB KING,1,leg,144,0.0,1.0,31.5,72.2,0.2,172,,1,20,5,4,9,6,13,19,258,,,8,6,60,10,68
FLOUNDER OR SOLE BAKED,3,OZ,120,0,6,16,68,3.2 ,85,,,,,,,,,,,
HADDOCK BREADED FRIED,3,OZ,175,7,9,17,75,2.4 ,85,,,,,,,,,,,
HALIBUT BROILED,3,OZ,140,0,6,20,62,3.3 ,85,,,,,,,,,,,
HERRING PICKLED,3,OZ,190,0,13,17,85,4.3 ,85,,,,,,,,,,,
MUSSELS MOLLUSKS,3,oz,146,6.3,3.8,20.2,47.6,0.7,85,,5,19,17,21,13,8,4,16,340,,,3,32,13,7,15
OYSTERS BREADED FRIED,1,ITM,90,5,5,5,35,1.4 ,45,,,,,,,,,,,
OYSTERS RAW,1,CUP,160,8,4,20,120,1.4 ,240,,,,,,,,,,,
SALMON BAKED RED,3,OZ,140,0,5,21,60,1.2 ,85,,,,,,,,,,,
SALMON CANNED,3,OZ,120,0,5,17,34,0.9 ,85,,,,,,,,,,,
SALMON SMOKED,3,OZ,150,0,8,18,51,2.6 ,85,,,,,,,,,,,
SALMON,0.5,fillet,184,0.0,5.5,31.7,82.7,0.9,159,150,4,0,18,6,56,12,16,2,80,5,1,2,7,4,15,6, 
SANDWICH LGE W/O CHEESE,1,ITM,470,41,27,18,91,6.3 ,170,,,,,,,,,,,
SANDWICH REG W/ CHEESE,1,ITM,420,39,23,16,56,6.3 ,140,,,,,,,,,,,
SQUID MOLLUSKS,1,oz,26.0,0.9,0.4,4.4,65.8,0.1,28,18.4,0,2,0,7,3,1,1,0,6,2,0,1,1,1,2,3
TROUT BROILED,3,OZ,175,0,9,21,71,4.1 ,85,,,,,,,,,,,
TUNA CANNED,3,OZ,165,0,7,24,55,1.4 ,85,,,,,,,,,,,
TUNA SALAD,1,CUP,375,19,19,33,80,3.3 ,205,,,,,,,,,,,
TUNA WHITE,3,OZ,135,0,1,30,48,0.3 ,85,,,,,,,,,,,
TUNA YELLOWFIN,1,OZ, 30.5, 0.0, 0.3, 6.6, 12.7, 0.1,2,8,0,0,13,2,1,0,0,1,0,4,1
