# FRUIT
APPLES RAW PEELED,1,CUP,65,16,0,0,0,0.1 ,110,,,,,,,,,,,
APRICOTS DRIED RAW,1,CUP,310,80,1,5,0,0 ,130,,,,,,,,,,,
APRICOTS RAW,1,ITEM,17,4,0,0.33,0,0 ,35,,,,,,,,,,,
AVOCADOS CALIFORNIA,1,ITEM,305,12,30,4,0,4.5 ,173,,,,,,,,,,,
AVOCADOS FLORIDA,1,ITEM,340,27,27,5,0,5.3 ,304,,,,,,,,,,,
BANANA RAW,1,ITEM,105,27,1,1,0,0.2 ,114,,,,,,,,,,,
BANANAS SLICED,1,CUP,140,35,1,2,0,0.3 ,150,,,,,,,,,,,
BLACKBERRIES RAW,1,CUP,75,18,1,1,0,0.2 ,144,,,,,,,,,,,
BLUEBERRIES RAW,1,CUP,80,20,1,1,0,0 ,145,,,,,,,,,,,
CANTALOUP RAW,0.5,ITM,95,22,1,2,0,0.1 ,267,,,,,,,,,,,
CHERRIES SOUR RED CANND,1,CUP,90,22,0,2,0,0.1 ,244,,,,,,,,,,,
CHERRIES SWEET RAW,10,CHERRY,50,11,1,1,0,0.1 ,68,,,,,,,,,,,
DATES ,10,DATES,230,61,0,2,0,0.1 ,83,,,,,,,,,,,
DATES CHOPPED,1,CUP,490,131,1,4,0,0.3 ,178,,,,,,,,,,,
FIGS DRIED,10,FIGS,475,122,2,6,0,0.4 ,187,,,,,,,,,,,
GRAPES EUROPEAN RAW THOMPSN,10,GRAPE,35,9,0,0,0,0.1 ,50,,,,,,,,,,,
GRAPES EUROPEAN RAW TOKAY,10,GRAPE,40,10,0,0,0,0.1 ,57,,,,,,,,,,,
KIWIFRUIT RAW,1,KIWI,45,11,0,1,0,0 ,76,,,,,,,,,,,
LEMONS RAW,1,LEMON,15,5,0,1,0,0 ,58,,,,,,,,,,,
MANGOS RAW,1,MANGO,135,35,1,1,0,0.1 ,207,,,,,,,,,,,
ORANGES RAW,1,CUP,75,19,1,1,0,0 ,155,,,,,,,,,,,
ORANGES RAW,1,ORANGE,60,15,0,1,0,0 ,131,,,,,,,,,,,
PEACHES CANNED JUICE PACK,1,CUP,110,29,0,2,0,0 ,248,,,,,,,,,,,
PEACHES CANNED SYRUP,1,CUP,190,51,0,1,0,0 ,256,,,,,,,,,,,
PEACHES DRIED COOKED UNSWETND,1,CUP,200,51,1,3,0,0.1 ,258,,,,,,,,,,,
PEACHES DRIED,1,CUP,380,98,1,6,0,0.1 ,160,,,,,,,,,,,
PEACHES FROZEN,10,OZ,265,68,0,2,0,0 ,284,,,,,,,,,,,
PEACHES RAW SLICED,1,CUP,75,19,0,1,0,0 ,170,,,,,,,,,,,
PEACHES RAW,1,PEACH,35,10,0,1,0,0 ,87,,,,,,,,,,,
PEARS CANNED HEAVY SYRUP,1,CUP,190,49,0,1,0,0 ,255,,,,,,,,,,,
PEARS RAW BARTLETT,1,PEAR,100,25,1,1,0,0 ,166,,,,,,,,,,,
PEARS RAW BOSC,1,PEAR,85,21,1,1,0,0 ,141,,,,,,,,,,,
PEARS RAW DANJOU,1,PEAR,120,30,1,1,0,0 ,200,,,,,,,,,,,
PINEAPPLE CANNED SYRUP,1,CUP,200,52,0,1,0,0 ,255,,,,,,,,,,,
PINEAPPLE CANNED SYRUP,1,SLICE,45,12,0,0,0,0 ,58,,,,,,,,,,,
PINEAPPLE RAW DICED,1,CUP,75,19,1,1,0,0 ,155,,,,,,,,,,,
PLUMS CANNED HEAVY SYRUP,1,CUP,230,60,0,1,0,0 ,258,,,,,,,,,,,
PLUMS RAW,1,PLUM,15,4,0,0,0,0 ,28,,,,,,,,,,,
RASPBERRIES FROZEN SWEETENED,1,CUP,255,65,0,2,0,0 ,250,,,,,,,,,,,
RASPBERRIES RAW,1,CUP,60,14,1,1,0,0 ,123,,,,,,,,,,,
TOMATOES RED,1,CUP,26.8,5.8,0.3,1.3,0.0,0.0,149,10.0,25,32,4,2,4,1,6,6,0,4,15,1,2,0,10,2
PLANTAINS COOKED,1,CUP,180,48,0,1,0,0.1 ,154,,,,,,,,,,,
PLANTAINS RAW,1,PLANTN,220,57,1,2,0,0.3 ,179,,,,,,,,,,,
PRUNES DRIED COOKED ,1,CUP,225,60,0,2,0,0 ,212,,,,,,,,,,,
PRUNES DRIED,5,LARGE,115,31,0,1,0,0 ,49,,,,,,,,,,,
RAISINS ,1,CUP,435,115,1,5,0,0.2 ,145,,,,,,,,,,,
RAISINS ,1,PACKET,40,11,0,0,0,0 ,14,,,,,,,,,,,
GRAPEFRUIT CANNED SYRUP PACK,1,CUP,150,39,0,1,0,0 ,254,,,,,,,,,,,
GRAPEFRUIT RAW PINK,0.5,FRUT,40,10,0,1,0,0 ,120,,,,,,,,,,,
GRAPEFRUIT RAW WHITE,0.5,FRUT,40,10,0,1,0,0 ,120,,,,,,,,,,,
STRAWBERRIES RAW,1,CUP,45,10,1,1,0,0 ,149,,,,,,,,,,,
NECTARINES RAW,1,ITM,65,16,1,1,0,0.1 ,136,,,,,,,,,,,
TANGERINES CANNED,1,CUP,155,41,0,1,0,0 ,252,,,,,,,,,,,
TANGERINES RAW,1,ITM,35,9,0,1,0,0 ,84,,,,,,,,,,,
WATERMELON RAW DICED,1,CUP,50,11,1,1,0,0.1 ,160,,,,,,,,,,,
MELON HONEYDEW,0.1,MEL,45,12,0,1,0,0 ,129,,,,,,,,,,,
PEPPER BLACK,1,TSP,5,1,0,0,0,0 ,2.1,,,,,,,,,,,
