# JUICES
<JUICE>APPLE,1,cup,114,28.0,0.3,0.2,0.0,0.1,248,4.5,0,4,3,2,1,1,2,0,0,0,0,2,2,0,7,0 
<JUICE>APRICOTS,1,CUP,120,31,0,2,0,0 ,248,,,,,,,,,,,
<JUICE>CRANBERRY,1,CUP,145,38,0,0,0,0 ,253,,,,,,,,,,,
<JUICE>GRAPE CANNED,1,CUP,155,38,0,1,0,0.1 ,253,,,,,,,,,,,
<JUICE>GRAPEFRUIT,1,CUP,95,23,0,1,0,0 ,247,,,,,,,,,,,
<JUICE>GRAPEFRUIT,6,FLOZ,300,72,1,4,0,0.1 ,207,,,,,,,,,,,
<JUICE>GRAPEJCE CONCEN SWTND W/C,6,FLOZ,385,96,1,1,0,0.2 ,21,,,,,,,,,,,6
<JUICE>LEMON CANNED,1,CUP,50,16,1,1,0,0.1 ,244,,,,,,,,,,,
<JUICE>LEMON CANNED,1,TBSP,5,1,0,0,0,0 ,15,,,,,,,,,,,
<JUICE>LEMON RAW,1,CUP,60,21,0,1,0,0 ,244,,,,,,,,,,,
<JUICE>LIME CANNED,1,CUP,50,16,1,1,0,0.1 ,246,,,,,,,,,,,
<JUICE>LIME RAW,1,CUP,65,22,0,1,0,0 ,246,,,,,,,,,,,
<JUICE>ORANGE RAW,1,CUP,110,26,0,2,0,0.1 ,248,,,,,,,,,,,
<JUICE>PEARS,1,CUP,125,32,0,1,0,0 ,248,,,,,,,,,,,
<JUICE>PINEAPPLE,1,CUP,140,34,0,1,0,0 ,250,,,,,,,,,,,
<JUICE>PRUNE,1,CUP,180,45,0,2,0,0 ,256,,,,,,,,,,,
<JUICE>TANGERINE,1,CUP,125,30,0,1,0,0 ,249,,,,,,,,,,,
<JUICE>TOMATO CANNED W/O SALT,1,CUP,40,10,0,2,0,0 ,244,,,,,,,,,,,
<JUICE>TOMATO CANNED WITH SALT,1,CUP,40,10,0,2,0,0 ,244,,,,,,,,,,,
 <JUICE>LEMONADE CONCEN FRZEN DILUTED,6,FLOZ,80,21,0,0,0,0 ,185,,,,,,,,,,,
