# MEATS-BEEF
BEEF AND VEG STEW HM RCP,1,CUP,220,15,11,16,71,4.4 ,245,,,,,,,,,,,
BEEF BROTH BOULLN CONSM CNND,1,CUP,15,0,1,3,0,0.3 ,240,,,,,,,,,,,
BEEF CANNED CORNED,3,OZ,185,0,10,22,80,4.2 ,85,,,,,,,,,,,
BEEF CKD BTTM ROUND,3,OZ,220,0,13,25,81,4.8 ,85,,,,,,,,,,,
BEEF CKD CHUCK BLADE,3,OZ,325,0,26,22,87,10.8 ,85,,,,,,,,,,,
BEEF DRIED CHIPPED,2.5,OZ,145,0,4,24,46,1.8 ,72,,,,,,,,,,,
BEEF GRAVY CANNED,1,CUP,125,11,5,9,7,2.7 ,233,,,,,,,,,,,
BEEF LIVER FRIED,3,OZ,185,7,7,23,410,2.5 ,85,,,,,,,,,,,
BEEF ROAST EYE O RND,3,OZ,205,0,12,23,62,4.9 ,85,,,,,,,,,,,
BEEF ROAST RIB,3,OZ,315,0,26,19,72,10.8 ,85,,,,,,,,,,,
BEEF STEAK SIRLOIN BROIL,3,OZ,240,0,15,23,77,6.4 ,85,,,,,,,,,,,
