# MEATS-FOWL
FoodT,NF,ITM,Cals,Carbs,Fat,Prot,Choles,SatFat,Wt,Choline,vA,vC,vB1Th,vB2Rb,vB3Ni,vB5Pa,vB6,vB9Fo,B12,vE,vK,Ca,Fe,Na,K,Zn,
CHICKEN BOILED,5,OZ,235,0,11,31,88,3.1 ,142,,,,,,,,,,,
CHICKEN BREAST FRIED BATTER,4.9,OZ,365,13,18,35,119,4.9 ,140,,,,,,,,,,,
CHICKEN BREAST FRIED FLOUR,3.5,OZ,220,2,9,31,87,2.4 ,98,,,,,,,,,,,
CHICKEN FRIED BATTER DRMSTCK,2.5,OZ,195,6,11,16,62,3 ,72,,,,,,,,,,,
CHICKEN FRIED FLOUR DRMSTCK,1.7,OZ,120,1,7,13,44,1.8 ,49,,,,,,,,,,,
CHICKEN ROASTED BREAST,3.0,OZ,140,0,3,27,73,0.9 ,86,,,,,,,,,,,
CHICKEN ROASTED DRUMSTICK,1.6,OZ,75,0,2,12,41,0.7 ,44,,,,,,,,,,,
CHICKEN STEWED,1,CUP,250,0,9,38,116,2.6 ,140,,,,,,,,,,,
CHICKEN WINGS FRIED BATTER,4.9,OZ,365,13,18,35,119,4.9 ,140,,,,,,,,,,,
CHICKEN_LIVER COOKED,1,LIVER,30,0,1,5,126,0.4 ,20,,,,,,,,,,,
TURKEY PATTIES BRD BATTD FRID,1,PATTY,180,10,12,9,40,3 ,64,,,,,,,,,,,
TURKEY ROASTED DARK MEAT,4,PIECES,1,60,0,6,24,72,2.1 ,85,,,,,,,,,,,
TURKEY ROASTED LIGHT MEAT,2,PIECES,135,0,3,25,5,9,0.9 ,85,,,,,,,,,,,
TURKEY ROASTED,1,CUP,240,0,7,41,106,2.3 ,140,,,,,,,,,,,
DUCK ROASTED ,0.5,ITM,445,0,25,52,197,9.2 ,221,,,,,,,,,,,

