# MEATS-PORK
<MEAT>PORK BACON CANADIAN,2,SLICE,85,1,4,11,27,1.3 ,46,,,,,,,,,,,
<MEAT>PORK BACON REGUL,3,SLICE,110,0,9,6,16,3.3 ,19,,,,,,,,,,,
<MEAT>PORK CHOP LOIN BROIL LEAN,2.5,OZ,165,0,8,23,71,2.6 ,72,,,,,,,,,,,
<MEAT>PORK CHOP LOIN PANFRY LEAN,2.4,OZ,180,0,11,19,72,3.7 ,67,,,,,,,,,,,
<MEAT>PORK CURED HAM CANNED ROAST,3,OZ,140,0,7,18,35,2.4 ,85,,,,,,,,,,,
<MEAT>PORK CURED HAM ROSTED LEAN,2.4,OZ,105,0,4,17,37,1.3 ,68,,,,,,,,,,,
<MEAT>PORK CURED HAM ROSTED,3,OZ,205,0,14,18,53,5.1 ,85,,,,,,,,,,,
<MEAT>PORK FRESH HAM ROASTD LEAN,2.5,OZ,160,0,8,20,68,2.7 ,72,,,,,,,,,,,
<MEAT>PORK FRESH RIB ROASTD LEAN,2.5,OZ,175,0,10,20,56,3.4 ,71,,,,,,,,,,,
<MEAT>PORK LINK,1,LINK,50,0,4,3,11,1.4 ,13,,,,,,,,,,,
<MEAT>PORK LUNCHEON CANNED,2,SLICES,140,1,13,5,26,4.5 ,42,,,,,,,,,,,
<MEAT>PORK LUNCHEON CHOPPD HAM,2,SLICES,95,0,7,7,21,2.4 ,42,,,,,,,,,,,
<MEAT>PORK LUNCHEON HAM LEAN,2,SLICES,75,1,3,11,27,0.9 ,57,,,,,,,,,,,
<MEAT>PORK SHOULDER BRAISD LEAN,2.4,OZ,165,0,8,22,76,2.8 ,67,,,,,,,,,,,
<MEAT>PORK SHOULDER BRAISD,3,OZ,295,0,22,23,93,7.9 ,85,,,,,,,,,,,
