# SAUCES
<SAUCE>APPLESAUCE CANNED,1,CUP,105,28,0,0,0,0 ,244,,,,,,,,,,,
<SAUCE>SOY SAUCE,1,TBSP,10,2,0,2,0,0 ,18,,,,,,,,,,,
<SAUCE>TARTAR SAUCE,1,TBSP,75,1,8,0,4,1.2 ,14,,,,,,,,,,,
<SAUCE>TOMATO SAUCE CANNED WITH SALT,1,CUP,75,18,0,3,0,0.1 ,245,,,,,,,,,,,
<SAUCE>BARBECUE SAUCE,1,TBSP,10,2,0,0,0,0 ,16,,,,,,,,,,,
<SAUCE>WHITE SAUCE,1,CUP,395,24,30,10,32,9.1,2,50,,,,,,,,,,,
<SAUCE>VINEGAR AND OIL SALAD DRESSING,1,TBSP,70,0,8,0,0,1.5 ,16,,,,,,,,,,,
<SAUCE>VINEGAR CIDER,1,TBSP,0,1,0,0,0,0 ,15,,,,,,,,,,,
<SAUCE>HOLLANDAISE SCE W/ H2O FRM MX,1,CUP,240,14,20,5,52,11.6 ,259,,,,,,,,,,,
<SAUCE>BLUE CHEESE SALAD DRESSING,1,TBSP,75,1,8,1,3,1.5 ,15,,,,,,,,,,,
<SAUCE>MAYONNAISE REGULAR,1,TBSP,100,0,11,0,8,1.7 ,14,,,,,,,,,,,
<SAUCE>MAYONNAISE TYPE SALAD DRESSING,1,TBSP,60,4,5,0,4,0.7 ,15,,,,,,,,,,,
