# SOUPS
<SOUP>BEAN WITH BACON,1,CUP,170,23,6,8,3,1.5 ,253,0,0,0,0,0,0,0,0,0,0,
<SOUP>BEEF NOODLE,1,CUP,85,9,3,5,5,1.1 ,244,0,0,0,0,0,0,0,0,0,0,
<SOUP>CHICKEN CREAM OF,1,CUP,115,9,7,3,10,2.1 ,244,0,0,0,0,0,0,0,0,0,0,
<SOUP>CHICKEN ENCHILADA,1,CUP,170,16,7,10,45,3.0,245,0.0,10,6,4,0,0,0,0,0,0,0,0,15,6,0,0,
<SOUP>CHICKEN NOODLE,1,CUP,75,9,2,4,7,0.7 ,241,0,0,0,0,0,0,0,0,0,0,
<SOUP>CHICKEN RICE,1,CUP,60,7,2,4,7,0.5 ,241,0,0,0,0,0,0,0,0,0,0,
<SOUP>CLAM CHOWDER MANHATTAN,1,CUP,100,17,7,3,5,2.1 ,239,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,
<SOUP>LOBSTER BISQUE,1,CUP,270,13,7,7,85,7,245,0,0,0,0,0,0,0,0,0,0,
<SOUP>MINESTRONE,1,CUP,80,11,3,4,2,0.6 ,241,0,0,0,0,0,0,0,0,0,0,
<SOUP>MISO,1,CUP,470,65,13,29,0,1.8 ,276,0,0,0,0,0,0,0,0,0,0,
<SOUP>MUSHROOM CREAM OF,1,CUP,205,15,14,6,20,5.1 ,248,0,0,0,0,0,0,0,0,0,0,
<SOUP>NOODLE BOWL NONGSHIM,10,FLOZ,380,56,7,8,0,0,90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,37,6.00,
<SOUP>PEA GREEN,1,CUP,165,27,3,9,0,1.4 ,250,0,0,0,0,0,0,0,0,0,0,
<SOUP>POTATO CREAM,1,cup,73.2,11.5,2.4,1.8,4.9,1.2,244,0,6,0,2,2,3,8,2,1,1,0,0,2,3,42,4,4
<SOUP>TOMATO,1,CUP,160,22,6,6,17,2.9 ,248,0,0,0,0,0,0,0,0,0,0,
<SOUP>VEGETABLE BEEF,1,CUP,80,10,2,6,5,0.9 ,244,0,0,0,0,0,0,0,0,0,0,
<SOUP>VEGETARIAN,1,CUP,70,12,2,2,0,0.3 ,241,0,0,0,0,0,0,0,0,0,0,
