# VEGETABLES
<VEG>ALFALFA SEEDS,1,cup,7.6,0.7,0.2,1.3,0.0,0.0,33,4.8,1,5,2,2,1,2,1,3,0,0,13,1,2,0,1,2
<VEG>BARLEY PEARLED LIGHT UNCOOKD,1,CUP,700,158,2,16,0,0.3 ,200,,,,,,,,,,,
<VEG>BEAN SPROUTS MUNG RAW,1,CUP,30,6,0,3,0,0 ,104,,,,,,,,,,,
<VEG>BEET GREENS COOKED,1,CUP,40,8,0,4,0,0 ,144,,,,,,,,,,,
<VEG>BEETS CANNED W/ SALT,1,CUP,55,12,0,2,0,0 ,170,,,,,,,,,,,
<VEG>BLACK-EYED PEAS DRY COOKED,1,CUP,190,35,1,13,0,0.2 ,250,,,,,,,,,,,
<VEG>BROCCOLI RAW COOKED,1,CUP,45,9,0,5,0,0.1 ,155,,,,,,,,,,,
<VEG>BRUSSELS SPROUTS RAW,1,CUP,60,13,1,4,0,0.2 ,155,,,,,,,,,,,
<VEG>CABBAGE CHINESE PAK-CHOI CKD,1,CUP,20,3,0,3,0,0 ,170,,,,,,,,,,,
<VEG>CABBAGE CHINESE PE-TSAI RAW,1,CUP,10,2,0,1,0,0 ,76,,,,,,,,,,,
<VEG>CABBAGE COMMON COOKED DRNED,1,CUP,30,7,0,1,0,0 ,150,,,,,,,,,,,
<VEG>CABBAGE COMMON RAW,1,CUP,15,4,0,1,0,0 ,70,,,,,,,,,,,
<VEG>CABBAGE RED RAW,1,CUP,20,4,0,1,0,0 ,70,,,,,,,,,,,
<VEG>CABBAGE SAVOY RAW,1,CUP,20,4,0,1,0,0 ,70,,,,,,,,,,,
<VEG>CARROTS COOKED FROM RAW,1,CUP,70,16,0,2,0,0.1 ,156,,,,,,,,,,,
<VEG>CAULIFLOWER RAW,1,CUP,30,6,0,2,0,0 ,125,,,,,,,,,,,
<VEG>CELERY RAW STALK,1,ITM,5,1,0,0,0,0 ,40,,,,,,,,,,,
<VEG>CELERY SEED,1,TSP,10,1,1,0,0,0 ,2,,,,,,,,,,,
<VEG>CHARD SWISS,1,cup,,35.0,7.2,0.1,3.3,0.0,0.0,175,50.2,214,53,4,9,3,3,7,4,0,17,716,10,22,13,27,4 
<VEG>COLLARDS COOKED FROM RAW,1,CUP,25,5,0,2,0,0.1 ,190,,,,,,,,,,,
<VEG>CORN GRITS WHITE ,1,CUP,145,31,0,3,0,0 ,242,,,,,,,,,,,
<VEG>CORN GRITS COOKED INSTANT,1,PKT,80,18,0,2,0,0 ,137,,,,,,,,,,,
<VEG>ENDIVE CURLY RAW,1,CUP,10,2,0,1,0,0 ,50,,,,,,,,,,,
<VEG>JERUSALEM-ARTICHOKE RAW,1,CUP,115,26,0,3,0,0 ,150,,,,,,,,,,,
<VEG>KALE COOKED FROM RAW,1,CUP,40,7,1,2,0,0.1 ,130,,,,,,,,,,,
<VEG>LETTUCE BUTTERHEAD RAW HEAD,1,HEAD,20,4,0,2,0,0 ,163,,,,,,,,,,,
<VEG>LETTUCE CRISPHEAD RAW,1,CUP,5,1,0,1,0,0 ,55,,,,,,,,,,,
<VEG>LETTUCE LOOSELEAF,1,CUP,10,2,0,1,0,0 ,56,,,,,,,,,,,
<VEG>MUSHROOMS WHITE,1,CUP,15.4,2.3,0.2,2.2,0.0,0.0,70,12.1,0,2,4,17,13,10,4,3,0,0,0,0,2,0,6,2 
<VEG>MUSTARD GREENS COOKED DRANED,1,CUP,20,3,0,3,0,0 ,140,,,,,,,,,,,
<VEG>ONIONS RAW CHOPPED,1,CUP,55,12,0,2,0,0.1 ,160,,,,,,,,,,,
<VEG>ONIONS SPRING RAW,6,ITM,10,2,0,1,0,0 ,30,,,,,,,,,,,
<VEG>PARSLEY RAW,10,SPRIG,5,1,0,0,0,0 ,10,,,,,,,,,,,
<VEG>PARSNIPS COOKED,1,CUP,125,30,0,2,0,0.1 ,156,,,,,,,,,,,
<VEG>POTATO SALAD W/ MAYONNAIS,1,CUP,360,28,21,7,170,3.6 ,250,,,,,,,,,,,
<VEG>POTATOES AU GRATIN FROM MIX,1,CUP,230,31,10,6,12,6.3 ,245,,,,,,,,,,,
<VEG>POTATOES BAKED FLESH ONLY,1,ITM,145,34,0,3,0,0 ,156,,,,,,,,,,,
<VEG>POTATOES BOILED PEELED,1,ITM,115,27,0,2,0,0 ,135,,,,,,,,,,,
<VEG>POTATOES FRENCH FRIED,10,ITM,160,20,8,2,0,2.5 ,50,,,,,,,,,,,
<VEG>POTATOES HASHED,1/2,cup,170,21.9,9.0,2.5,0.0,3.5,78,19.1,0,8,6,1,9,3,5,1,0,1,4,1,7,1,10,2 
<VEG>POTATOES MASHED MILK BUTTER,1,CUP,225,35,9,4,4,2.2 ,210,,,,,,,,,,,
<VEG>POTATOES RED,1,Potato,258,59.2,0.5,7.0,0.0,0.1,369,60.5,1,53,20,7,21,10,31,17,0,0,13,4,15,1,48,8
<VEG>PUMPKIN AND SQUASH KERNELS,1,OZ,155,5,13,7,0,2.5 ,28.35,,,,,,,,,,,
<VEG>RADISHES RAW,4,RADISH,5,1,0,0,0,0 ,18,,,,,,,,,,,
<VEG>SPINACH RAW,1,CUP,6.9,1.1,0.1,0.9,0.0,0.0,30,5.4,56,14,2,3,1,0,3,15,0,3,181,3,5,1,5,1
<VEG>SQUASH ACORN,1,CUP,56,15,0.5,0.5,0,0.0 ,140,,,,,,,,,,,
<VEG>SQUASH SUMMER,1,CUP,35,8,1,2,0,0.1 ,180,,,,,,,,,,,
<VEG>SQUASH WINTER,1,CUP,80,18,1,2,0,0.3 ,205,,,,,,,,,,,
<VEG>SWEETPOTATOES BAKED PEELED,1,ITM,115,28,0,2,0,0 ,114,,,,,,,,,,,
<VEG>SWEETPOTATOES CANNED MASHED,1,CUP,260,59,1,5,0,0.1 ,255,,,,,,,,,,,
<VEG>TURNIP GREENS COOKED FROM RAW,1,CUP,30,6,0,2,0,0.1 ,144,,,,,,,,,,,
<VEG>TURNIPS COOKED DICED,1,CUP,30,8,0,1,0,0 ,156,,,,,,,,,,,
<VEG>PUMPKIN RAW,1,CUP,50,12,0,2,0,0.1 ,245,,,,,,,,,,,
<VEG>CORN CHIPS,1,OZ,155,16,9,2,0,1.4 ,28.35,,,,,,,,,,,
<VEG>CORN COOKED WHITE,1,CUP,135,34,0,5,0,0 ,165,,,,,,,,,,,
<VEG>CORN COOKED YELLOW,1,CUP,135,34,0,5,0,0 ,165,,,,,,,,,,,
<VEG>ARTICHOKES GLOBE,1,ITEM,55,12,0,3,0,0 ,120,,,,,,,,,,,
<VEG>ASPARAGUS CKD FRM RAW DR,4,ITEM,15,3,0,2,0,0 ,60,,,,,,,,,,,
<VEG>EGGPLANT COOKED STEAMED,1,CUP,25,6,0,1,0,0 ,96,,,,,,,,,,,
<VEG>KOHLRABI COOKED,1,CUP,50,11,0,3,0,0 ,165,,,,,,,,,,,
<VEG>PAPAYAS RAW,1,CUP,65,17,0,1,0,0.1 ,140,,,,,,,,,,,
<VEG>RHUBARB COOKED ADDED SUGAR,1,CUP,280,75,0,1,0,0 ,240,,,,,,,,,,,
<VEG>SEAWEED KELP RAW,1,OZ,10,3,0,0,0,0.1 ,28.35,,,,,,,,,,,
<VEG>SEAWEED SPIRULINA DRIED,1,OZ,80,7,2,16,0,0.8 ,28.35,,,,,,,,,,,
<VEG>WATER CHESTNUTS CANNED,1,CUP,70,17,0,1,0,0 ,140,,,,,,,,,,,
<VEG>OKRA PODS COOKED,8,ITM,25,6,0,2,0,0 ,85,,,,,,,,,,,
<VEG>BAMBOO SHOOTS CANNED,1,CUP,25,4,1,2,0,0.1 ,131,,,,,,,,,,,
