<BREAD>  CRACKED-WHEAT,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>  CRUMBS DRY GRATED,1,CUP,390,73,5,13,5,1.5 ,100,,,,,,,,,,,
<BREAD>  FRENCH,1,SLICE,100,18,1,3,0,0.3 ,35,,,,,,,,,,,
<BREAD>  ITALIAN,1,SLICE,85,17,0,3,0,0 ,30,,,,,,,,,,,
<BREAD>  LEMON POPPYSEED,1,SLICE,160,23,2.3,3.6,61,2.3,25,,,,,,,,,,,
<BREAD>  MIXED GRAIN BREAD TOASTED,1,SLICE,65,12,1,2,0,0.2 ,23,,,,,,,,,,,
<BREAD>  OATMEAL,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>  PITA,1,PITA,165,33,1,6,0,0.1 ,60,,,,,,,,,,,
<BREAD>  PUMPERNICKEL BREAD,1,SLICE,80,16,1,3,0,0.2 ,32,,,,,,,,,,,
<BREAD>  RAISIN,1,SLICE,65,13,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>  RYE BREAD LIGHT,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>  STUFFING,1,CUP,500,50,31,9,0,6.1 ,140,,,,,,,,,,,
<BREAD>  VIENNA BREAD,1,SLICE,70,13,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>  WHEAT,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
<BREAD>  WHITE BREAD CRUMBS,1,CUP,120,22,2,4,0,0.6 ,45,,,,,,,,,,,
<BREAD>  WHITE BREAD,1,SLICE,65,12,1,2,0,0.3 ,25,,,,,,,,,,,
<BREAD>  WHOLE-WHEAT,1,SLICE,70,13,1,3,0,0.4 ,28,,,,,,,,,,,
<BREAD> MIXED GRAIN BREAD,1,SLICE,65,12,1,2,0,0.2 ,25,,,,,,,,,,,
 CROISSANTS ,1,ITM,235,27,12,5,13,3.5 ,57,,,,,,,,,,,
 ROLLS DINNER,1,ROLL,85,14,2,2,0,0.5 ,28,,,,,,,,,,,
 ROLLS HARD,1,ROLL,155,30,2,5,0,0.4 ,50,,,,,,,,,,,
 ROLLS HOAGIE OR SUBMARINE,1,ROLL,400,72,8,11,0,1.8 ,135,,,,,,,,,,,
 BAGELS EGG,1,ITEM,200,38,2,7,44,0.3 ,68,,,,,,,,,,,
 BAGELS PLAIN,1,ITEM,200,38,2,7,0,0.3 ,68,,,,,,,,,,,
