# MEALS
<MEAL>  CHICKEN BLACK PEPPER SIGNATURE,1,ITMS,230,30,3.5,17,45,0.5,255,,4,2,,,,,,,,,,4,30,108.00,16.00,2.00
<MEAL>  CHICKEN BURRITO BREAKFAST,1,ITM,290,35,11,14,30,3,142,,10,20,,,,,,,,,,10,15,26
<MEAL>  CHICKEN FETTUCCINI,1,ITM,290,43,6,16,30,2,262,,,,,,,,,,,,,15,0
<MEAL>  CHICKEN TIKKA,1,ITM,300,39,9,17,35,2,,,,,,,,,,,,,,6,10,,8
<MEAL>  CHILI CON BEANS CAN,1,CUP,298,28.1,12.9,17.4,32.0,4.3,246,66.7,20,6,9,14,12,4,16,16,27,,,9,36,43,19,17 
<MEAL>  KORMA CURRY NAVRATAN,1,ITMS,300,30,27,9,21,6,375,,,,,,,,,,,,,18,30,108.00,16.00,2.00
<MEAL>  KUNGPAO CHICKEN,1,ITM,460,75,10,15,0,1,241,,20,15,,,,,,,,,,6,10
<MEAL>  ORANGE CHICKEN,1,MEAL,400,56,13,16,40,2.5,33,0.0,30.0,25.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,6,8,33,0,0
<MEAL>  SWEET SOUR CHICKEN,1,ITM,390,74,4.5,13,25,1,255,,70,20,,,,,,,,,,8,10
<MEAL>  THAI COCONUT CHICKEN,1,ITM,330,37,13,14,45,6,255,,8,10,,,,,,,,,,6,6
<MEAL>  BURRITO CHICKEN,1,ITM,1250,133,32,58,138,22,250,,,,,,,,,,,
<MEAL>  CHICKEN CHOW MEIN CANNED,1,CUP,95,18,0,7,8,0.1 ,250,,,,,,,,,,,
<MEAL>  ENCHILADA ,1,ENCHLD,235,24,16,20,19,7.7 ,230,,,,,,,,,,,
<MEAL>  ENGLISH MUFFIN EGG CHEESE BACON,1,ITM,360,31,18,18,213,8 ,138,,,,,,,,,,,
