Description of food,   Amt, Unit,  Energy,  Carbohydrate, Fat, Protein, Cholesterol, SatFat, Wt, 
#                                             (calories) (Grams)  (Grams) (Grams) (Mlgrams) (Grams)  (Grams) 
#
# V7
ALFALFA SEEDS  SPROUTED  RAW        , 1, CUP, 10, 1, 0, 1, 0, 0 , 33
ALMONDS  WHOLE                      , 1, OZ, 165, 6, 15, 6, 0, 1.4 , 28.35
APPLE JUICE  CANNED                 , 1, CUP, 115, 29, 0, 0, 0, 0 , 248
APPLESAUCE  CANNED                , 1, CUP, 105, 28, 0, 0, 0, 0 , 244
APPLES  RAW  PEELED  SLICED         , 1, CUP, 65, 16, 0, 0, 0, 0.1 , 110
#
BEANS DRY CANNED W/PORK+TOMSCE      , 1, CUP, 310, 48, 7, 16, 10, 2.4 , 255
BEANS GREEN                         , 1, CUP, 44, 10, 0.4, 2.4, 0, 0.0 , 171
BEEF AND VEGETABLE STEW HM RCP      , 1, CUP, 220, 15, 11, 16, 71, 4.4 , 245
BEEF BROTH  BOULLN  CONSM CNND      , 1, CUP, 15, 0, 1, 3, 0, 0.3 , 240
BEEF GRAVY  CANNED                  , 1, CUP, 125, 11, 5, 9, 7, 2.7 , 233
BEEF HEART  BRAISED                 , 3, OZ, 150, 0, 5, 24, 164, 1.2 , 85
BEEF LIVER  FRIED                   , 3, OZ, 185, 7, 7, 23, 410, 2.5 , 85
BEEF ROAST  EYE O RND               , 3, OZ, 205, 0, 12, 23, 62, 4.9 , 85
BEEF ROAST  RIB                     , 3, OZ, 315, 0, 26, 19, 72, 10.8 , 85
BEEF STEAK SIRLOIN BROIL LEAN       , 2.5, OZ, 150, 0, 6, 22, 64, 2.6 , 72
BEEF STEAK SIRLOIN BROIL            , 3, OZ, 240, 0, 15, 23, 77, 6.4 , 85
BEEF  CANNED  CORNED                , 3, OZ, 185, 0, 10, 22, 80, 4.2 , 85
BEEF  CKD BTTM ROUND LEAN           , 2.8, OZ, 175, 0, 8, 25, 75, 2.7 , 78
BEEF  CKD BTTM ROUND                , 3, OZ, 220, 0, 13, 25, 81, 4.8 , 85
BEEF  CKD CHUCK BLADE LEAN          , 2.2, OZ, 170, 0, 9, 19, 66, 3.9 , 62
BEEF  CKD CHUCK BLADE               , 3, OZ, 325, 0, 26, 22, 87, 10.8 , 85
BEEF  DRIED  CHIPPED                , 2.5, OZ, 145, 0, 4, 24, 46, 1.8 , 72
BEER  LIGHT                         , 12, FLOZ, 95, 5, 0, 1, 0, 0 , 355
BEER  REGULAR                       , 12, FLOZ, 150, 13, 0, 1, 0, 0 , 360
BEET GREENS  COOKED  DRAINED        , 1, CUP, 40, 8, 0, 4, 0, 0 , 144
BEETS  CANNED  DRAINED W/ SALT      , 1, CUP, 55, 12, 0, 2, 0, 0 , 170
BEETS  COOKED  DRAINED  DICED       , 1, CUP, 55, 11, 0, 2, 0, 0 , 170
BEETS  COOKED  DRAINED  WHOLE       , 2, ITEM, 30, 7, 0, 1, 0, 0 , 100
BLACK-EYED PEAS  DRY  COOKED        , 1, CUP, 190, 35, 1, 13, 0, 0.2 , 250
#
CABBAGE  CHINESE  PAK-CHOI CKD      , 1, CUP, 20, 3, 0, 3, 0, 0 , 170
CABBAGE  CHINESE PE-TSAI  RAW       , 1, CUP, 10, 2, 0, 1, 0, 0 , 76
CABBAGE  COMMON  COOKED  DRNED      , 1, CUP, 30, 7, 0, 1, 0, 0 , 150
CABBAGE  COMMON  RAW                , 1, CUP, 15, 4, 0, 1, 0, 0 , 70
CABBAGE  RED  RAW                   , 1, CUP, 20, 4, 0, 1, 0, 0 , 70
CABBAGE  SAVOY  RAW                 , 1, CUP, 20, 4, 0, 1, 0, 0 , 70
CAKE POUND                            , 1, SLICE, 120, 15, 5, 2, 32, 1.2 , 30
CAKE GINGERBREAD                 , 1, PIECE, 175, 32, 4, 2, 1, 1.1 , 63
CAKE ANGELFOOD                     , 1, PIECE, 125, 29, 0, 3, 0, 0 , 53
