 BAGELS EGG,1,ITEM,200,38,2,7,44,0.3 ,68,,,,,,,,,,,
 BAGELS PLAIN,1,ITEM,200,38,2,7,0,0.3 ,68,,,,,,,,,,,
  BAR HARVEST TRAIL ATKINS,1,ITM,170,19,13,8,0,3 ,38,,,,,,,,,,,
 BOLOGNA ,2,SLICE,180,2,16,7,31,6.1 ,57,,,,,,,,,,,
 BRAN MUFFINS,1,ITEM,140,24,4,3,28,1.3 ,45,,,,,,,,,,,
 BRAUNSCHWEIGER ,2,SLICES,205,2,18,8,89,6.2 ,57,,,,,,,,,,,
 BROWN GRAVY FROM DRY MIX,1,CUP,80,14,2,3,2,0.9 ,261,,,,,,,,,,,
 BROWNIES NUTS FRSTNG,1,PIECE,100,16,4,1,14,1.6 ,25,,,,,,,,,,,
 BUTTER SALTED,1,TBSP,100,0,11,0,31,7.1 ,14,,,,,,,,,,,
 BUTTER UNSALTED,1,TBSP,100,0,11,0,31,7.1 ,14,,,,,,,,,,,
 BUTTERMILK ,1,CUP,100,12,2,8,9,1.3 ,245,,,,,,,,,,,
 CARAMELS PLAIN OR CHOCOLATE,1,OZ,115,22,3,1,1,2.2 ,28.35,,,,,,,,,,,
 CATSUP ,1,CUP,290,69,1,5,0,0.2 ,273,,,,,,,,,,,
 CATSUP ,1,TBSP,15,4,0,0,0,0 ,15,,,,,,,,,,,
 CEREAL BAR,1,ITM,140,27,2,2,0,0.5,37,,,,,,,,,,,
 CHEESECAKE ,1,PIECE,280,26,18,5,170,9.9 ,92,,,,,,,,,,,
 CHICKEN FRANKFURTER,1,FRANK,115,3,9,6,45,2.5 ,45,,,,,,,,,,,
 CHICKEN ROLL LIGHT,2,SLICES,90,1,4,11,28,1.1 ,57,,,,,,,,,,,
 CHICKEN_GRAVY CANNED,1,CUP,190,13,14,5,5,3.4 ,238,,,,,,,,,,,
 CHICKEN_GRAVY FROM DRY MIX,1,CUP,85,14,2,3,3,0.5 ,260,,,,,,,,,,,
 CHOCOLATE BITTER OR BAKING,1,OZ,145,8,15,3,0,9 ,28.35,,,,,,,,,,,
 COCA PWDR W/O NOFAT DRYMLK PRD,1,SERVNG,225,30,9,9,33,5.4 ,265,,,,,,,,,,,
 COCA PWDR W/O NONFAT DRY MILK,0.75,OZ,75,19,1,1,0,0.3 ,21,,,,,,,,,,,
 COFFEE INSTANT PREPARED,6,FLOZ,0,1,0,0,0,0 ,182,,,,,,,,,,,
 CORN MUFFINS FROM COMMERL MIX,1,MUFFIN,145,22,6,3,42,1.7 ,45,,,,,,,,,,,
 CORN OIL,1,CUP,1925,0,218,0,0,27.7 ,218,,,,,,,,,,,
 CORN OIL,1,TBSP,125,0,14,0,0,1.8 ,14,,,,,,,,,,,
 CRABMEAT CANNED,1,CUP,135,1,3,23,135,0.5 ,135,,,,,,,,,,,
 CUCUMBER W/ PEEL,6,SLICES,5,1,0,0,0,0 ,28,,,,,,,,,,,
 CUSTARD BAKED,1,CUP,305,29,15,14,278,6.8 ,265,,,,,,,,,,,
 EGGNOG ,1,CUP,340,34,19,10,149,11.3 ,254,,,,,,,,,,,
 FIG BARS,4,COOKIE,210,42,4,2,27,1 ,56,,,,,,,,,,,
 FILBERTS (HAZELNUTS) CHOPPED,1,OZ,180,4,18,4,0,1.3 ,28.35,,,,,,,,,,,
 FONDANT UNCOATED,1,OZ,105,27,0,0,0,0 ,28.35,,,,,,,,,,,
 FRANKFURTER COOKED,1,FRANK,145,1,13,5,23,4.8 ,45,,,,,,,,,,,
 FRENCH SALAD DRESSING REGULAR,1,TBSP,85,1,9,0,0,1.4 ,16,,,,,,,,,,,
 FRUIT COCKTAIL CNND JUICE PACK,1,CUP,115,29,0,1,0,0 ,248,,,,,,,,,,,
 FUDGE CHOCOLATE PLAIN,1,OZ,115,21,3,1,1,2.1 ,28.35,,,,,,,,,,,
 GELATIN DESSERT,0.5,CUP,70,17,0,2,0,0 ,120,,,,,,,,,,,
 GELATIN DRY,1,ENVELP,25,0,0,6,0,0 ,7,,,,,,,,,,,
 GRAPEJCE FRZN DILUTD SWTND W/C,1,CUP,125,32,0,0,0,0.1 ,250,,,,,,,,,,,
 GRAVY AND TURKEY FROZEN,5,OZ,95,7,4,8,26,1.2 ,142,,,,,,,,,,,
 GREAT NORTHN BEANS DRY CKD DRN,1,CUP,210,38,1,14,0,0.1 ,180,,,,,,,,,,,
 GREENSUPERFOOD ,1,TBSP,30,4,0,2,0,0,0,,25,57,,,,,,,,,88,5,8,1,5,2
 GROUND BEEF BROILED LEAN,3,OZ,230,0,16,21,74,6.2 ,85,,,,,,,,,,,
 GROUND BEEF BROILED REGULAR,3,OZ,245,0,18,20,76,6.9 ,85,,,,,,,,,,,
 GUM DROPS,1,OZ,100,25,0,0,0,0 ,28.35,,,,,,,,,,,
 HARD CANDY,1,OZ,110,28,0,0,0,0 ,28.35,,,,,,,,,,,
 HONEY ,1,TBSP,65,17,0,0,0,0 ,21,,,,,,,,,,,
 ICE CREAM VANLLA,3,FLOZ,100,12,5,2,22,3.4 ,50,,,,,,,,,,,
 ITALIAN SALAD DRESSING REGULAR,1,TBSP,80,1,9,0,0,1.3 ,15,,,,,,,,,,,
 JELLIES ,1,PKT,40,10,0,0,0,0 ,14,,,,,,,,,,,
 JELLIES ,1,TBSP,50,13,0,0,0,0 ,18,,,,,,,,,,,
 JELLY BEANS,1,OZ,105,26,0,0,0,0 ,28.35,,,,,,,,,,,
 KEFIR ,1,ITM,140,20,2,11,10,1.5,,,10,,,,,,,,,,,30,,,8
 LARD ,1,TBSP,115,0,13,0,12,5.1 ,13,,,,,,,,,,,
 LIMEADE ,6,FLOZ,75,20,0,0,0,0 ,185,,,,,,,,,,,
 MALT-O-MEAL WITH SALT,1,CUP,120,26,0,4,0,0 ,240,,,,,,,,,,,
 MALTED MILK CHOCOLATE POWDER,0.75,OZ,85,18,1,1,1,0.5 ,21,,,,,,,,,,,
 MAPLE SYRUP,2,TBSP,122,32,0,0,0,0 ,42,,,,,,,,,,,
 MARGARINE IMITATION 40% FAT,1,TBSP,50,0,5,0,0,1.1 ,14,,,,,,,,,,,
 MARGARINE REGULR HARD 80% FAT,1,PAT,35,0,4,0,0,0.8 ,5,,,,,,,,,,,
 MARGARINE REGULR HARD 80% FAT,1,TBSP,100,0,11,0,0,2.2 ,14,,,,,,,,,,,
 MARGARINE REGULR SOFT 80% FAT,1,TBSP,100,0,11,0,0,1.9 ,14,,,,,,,,,,,
 MARGARINE SPREAD SOFT 60% FAT,8,OZ,1225,0,138,1,0,29.1 ,227,,,,,,,,,,,
 MARSHMALLOWS ,1,OZ,90,23,0,1,0,0 ,28.35,,,,,,,,,,,
 MELBA TOAST PLAIN,1,PIECE,20,4,0,1,0,0.1 ,5,,,,,,,,,,,
 MOLASSES CANE BLACKSTRAP,2,TBSP,85,22,0,0,0,0 ,40,,,,,,,,,,,
 MOZZARELLA CHESE SKIM LOMOIST,1,OZ,80,1,5,8,15,3.1 ,28.35,,,,,,,,,,,
 MUFFIN BLUEBERRY,1,ITEM,140,22,5,3,45,1.4 ,45,,,,,,,,,,,
 MUFFIN ENGLISH LIGHT,1,ITM,100,25,1,5,0,0,57,,,,,,,,,,,
 MUFFIN ENGLISH PLAIN,1,ITM,140,27,1,5,0,0.3 ,57,,,,,,,,,,,
 MUSHROOM GRAVY,1,CUP,120,13,6,3,0,1 ,238,,,,,,,,,,,
 MUSTARD PREPARED YELLOW,1,TSP,5,0,0,0,0,0 ,5,,,,,,,,,,,
 NOODLES CHOW MEIN CANNED,1,CUP,220,26,11,6,5,2.1 ,45,,,,,,,,,,,
 NOODLES EGG COOKED,1,CUP,200,37,2,7,50,0.5 ,160,,,,,,,,,,,
 OATMEAL CKD INSTNT PLAIN FORTF,1,PKT,105,18,2,4,0,0.3 ,177,,,,,,,,,,,
