Food ,Amt,Unit,Cals,Carbs(g),Fat,Prot,Choles(mg),SatFat(g),Wt(g),Choline(mg),vA(dv),vC,vB1Th,vB2Rb,vB3Ni,vB5Pa,vB6,vB9Fo,B12,vE,vK,Ca,Fe,Na,K,Zn,
POTPIE CHICKEN                     ,1,PIECE,900,92,48,25,40,19,400,,,,,,,,,,,,0,4,25,71,10,2 ,
NOODLE BOWL NONGSHIM,10,FLOZ,380,56,7,8,0,0,90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,37,6.00,,
korma curry navratan,1,ITMS,300,30,27,9,21,6,375,,,,,,,,,,,,,18,30,108.00,16.00,2.00,
CHICKEN BLACK PEPPER SIGNATURE <MEAL>,1,ITMS,230,30,3.5,17,45,0.5,255,,4,2,,,,,,,,,,4,30,108.00,16.00,2.00,
SAUSAGE CHICKEN ANDOUILLE,1,ITM,120,1,7,13,75,1.5,85,,4,,,,,,,,,,1,2,10,0,0,0,
CLAM CHOWDER MANHATTAN <SOUP>,1,CUP,100,17,7,3,5,2.1 ,239,,25,,,,,,,,,,,,4,,,,
TOMATO                       <SOUP>,1,CUP,160,22,6,6,17,2.9 ,248,,,,,,,,,,,,,15,6,,,,
KUNGPAO <MEAL>,1,ITM,460,75,10,15,0,1,241,,20,15,,,,,,,,,,6,10,,,,
chicken burrito breakfast,1,ITM,290,35,11,14,30,3,142,,10,20,,,,,,,,,,10,15,26,
chicken fettuccini <MEAL>,1,ITM,290,43,6,16,30,2,262,,,,,,,,,,,,,15,0,
,
,
