ASL SSV 1
WeekPlan_27_2017
rows 15 cols 52
0 0 0 1 D/H
1 0 1 1 0
2 0 2 1 :30
3 0 3 1 1
4 0 4 1 :30
5 0 5 1 2
6 0 6 1 :30
7 0 7 1 3
8 0 8 1 :30
9 0 9 1 4
10 0 10 1 :30
11 0 11 1 5
12 0 12 1 :30
13 0 13 1 6
14 0 14 1 :30
15 0 15 1 7
16 0 16 1 :30
17 0 17 1 08
18 0 18 1 :30
19 0 19 1 09
20 0 20 1 :30
21 0 21 1 10
22 0 22 1 :30
23 0 23 1 11
24 0 24 1 :30
25 0 25 1 12
26 0 26 1 :30
27 0 27 1 13
28 0 28 1 :30
29 0 29 1 14
30 0 30 1 :30
31 0 31 1 15
32 0 32 1 :30
33 0 33 1 16
34 0 34 1 :30
35 0 35 1 17
36 0 36 1 :30
37 0 37 1 18
38 0 38 1 :30
39 0 39 1 19
40 0 40 1 :30
41 0 41 1 20
42 0 42 1 :30
43 0 43 1 21
44 0 44 1 :30
45 0 45 1 22
46 0 46 1 :30
47 0 47 1 23
48 0 48 1 :30
49 0 49 1 Wt
50 0 50 1 H
51 0 51 1 Score
52 1 0 1 Mon
69 1 17 1 ?
70 1 18 1 ?
71 1 19 1 ?
72 1 20 1 ?
104 2 0 1 +>
121 2 17 6 Flying
122 2 18 6 Flying
123 2 19 6 Flying
124 2 20 6 Flying
146 2 42 1 BarnTidy
147 2 43 1 BarnTidy
148 2 44 1 BarnTidy
149 2 45 1 BarnTidy
150 2 46 5 Guitar
156 3 0 1 Tue
173 3 17 1 BarnTidy?
174 3 18 1 BarnTidy?
175 3 19 1 BarnTidy?
176 3 20 1 BarnTidy?
177 3 21 1 BarnTidy?
178 3 22 1 BarnTidy?
208 4 0 1 +>
225 4 17 1 BarnTidy
226 4 18 1 BarnTidy
227 4 19 1 BarnTidy
228 4 20 1 BarnTidy
229 4 21 1 BarnTidy
230 4 22 1 BarnTidy
231 4 23 1 BarnTidy
232 4 24 1 BarnTidy
252 4 44 5 Guitar
253 4 45 5 Guitar
260 5 0 1 Wed
312 6 0 1 +>
329 6 17 6 Flying
330 6 18 6 Flying
331 6 19 6 Flying
332 6 20 6 Flying
364 7 0 1 Thu
416 8 0 1 +>
433 8 17 6 Flying
434 8 18 6 Flying
435 8 19 6 Flying
436 8 20 6 Flying
449 8 33 1 BarnTidy
450 8 34 1 BarnTidy
451 8 35 1 BarnTidy
468 9 0 1 Fri
520 10 0 1 +>
541 10 21 6 Flying
542 10 22 6 Flying
543 10 23 6 Flying
544 10 24 6 Flying
545 10 25 6 Flying
553 10 33 1 BarnTidy
554 10 34 1 BarnTidy
572 11 0 1 Sat
624 12 0 1 +>
639 12 15 1 Plan
642 12 18 1 Code
643 12 19 1 Code
644 12 20 1 Code
645 12 21 4 Espanol
646 12 22 4 Espanol
653 12 29 1 GliderMaintenace
654 12 30 1 GliderMaintenace
659 12 35 5 Guitar
660 12 36 5 Guitar
666 12 42 5 Guitar
676 13 0 4 Sun 
728 14 0 1 +>
743 14 15 1 Code
744 14 16 1 Code
745 14 17 1 Code
746 14 18 1 Code
747 14 19 1 gapp
748 14 20 1 gapp
