ASL SSV 1
Journal/WeekPlan_28_2017
rows 15 cols 52
0 0 0 1 D/H
1 0 1 1 0
2 0 2 1 :30
3 0 3 1 1
4 0 4 1 :30
5 0 5 1 2
6 0 6 1 :30
7 0 7 1 3
8 0 8 1 :30
9 0 9 1 4
10 0 10 1 :30
11 0 11 1 5
12 0 12 1 :30
13 0 13 1 6
14 0 14 1 :30
15 0 15 1 7
16 0 16 1 :30
17 0 17 1 08
18 0 18 1 :30
19 0 19 1 09
20 0 20 1 :30
21 0 21 1 10
22 0 22 1 :30
23 0 23 1 11
24 0 24 1 :30
25 0 25 1 12
26 0 26 1 :30
27 0 27 1 13
28 0 28 1 :30
29 0 29 1 14
30 0 30 1 :30
31 0 31 1 15
32 0 32 1 :30
33 0 33 1 16
34 0 34 1 :30
35 0 35 1 17
36 0 36 1 :30
37 0 37 1 18
38 0 38 1 :30
39 0 39 1 19
40 0 40 1 :30
41 0 41 1 20
42 0 42 1 :30
43 0 43 1 21
44 0 44 1 :30
45 0 45 1 22
46 0 46 1 :30
47 0 47 1 23
48 0 48 1 :30
49 0 49 1 Wt
50 0 50 1 H
51 0 51 1 Score
52 1 0 4 Mon  10
67 1 15 4 Espanol?
68 1 16 4 Espanol?
70 1 18 1 Code?
71 1 19 1 Code?
79 1 27 1 GliderM?
80 1 28 1 GliderM?
81 1 29 1 GliderM?
96 1 44 5 Guitar?
97 1 45 5 Guitar?
104 2 0 1 +>
156 3 0 4 Tue  11
208 4 0 1 +>
223 4 15 4 Espanol
224 4 16 1 Gapp
225 4 17 1 Gapp
235 4 27 1 GliderM
236 4 28 1 GliderM
237 4 29 1 GliderM
238 4 30 1 GliderM
239 4 31 1 GliderM
240 4 32 1 GliderM
260 5 0 4 Wed  12
312 6 0 1 +>
327 6 15 6 Flying
328 6 16 6 Flying
329 6 17 6 Flying
330 6 18 6 Flying
331 6 19 6 Flying
332 6 20 6 Flying
333 6 21 6 Flying
334 6 22 6 Flying
335 6 23 6 Flying
336 6 24 6 Flying
337 6 25 6 Flying
338 6 26 6 Flying
339 6 27 6 Flying
340 6 28 6 Flying
341 6 29 6 Flying
342 6 30 6 Flying
364 7 0 4 Thu  13
416 8 0 1 +>
431 8 15 1 YardW
432 8 16 1 YardW
433 8 17 1 YardW
434 8 18 1 YardW
435 8 19 1 YardW
436 8 20 1 YardW
437 8 21 1 YardW
438 8 22 1 YardW
465 8 49 1 203
468 9 0 4 Fri  14
520 10 0 1 +>
537 10 17 4 Espanol
538 10 18 4 Espanol
539 10 19 1 GliderM
540 10 20 1 GliderM
541 10 21 1 GliderM
542 10 22 1 GliderM
565 10 45 1 Gapp
566 10 46 1 Gapp
567 10 47 1 Code
568 10 48 1 Code
572 11 0 4 Sat  15
624 12 0 1 +>
625 12 1 5 Guitar
626 12 2 5 Guitar
641 12 17 1 Gapp
642 12 18 1 Gapp
655 12 31 2 Bike
656 12 32 2 Bike
657 12 33 2 Bike
658 12 34 2 Bike
673 12 49 1 199
676 13 0 2 Sun  16
693 13 17 1  
694 13 18 1  
728 14 0 1 +>
745 14 17 1 Gapp
746 14 18 1 Gapp
