ASL SSV 1
Week_47_2016
rows 50 cols 8
0 0 0 1 Hour
1 0 1 1 Mo
2 0 2 1 Tu
3 0 3 1 We
4 0 4 1 Th
5 0 5 1 Fr
6 0 6 1 Sa
7 0 7 1 Su
8 1 0 1 0
11 1 3 1 Code
16 2 0 1 0:30
24 3 0 1 1
32 4 0 1 1:30
40 5 0 1 2
48 6 0 1 2:30
56 7 0 1 3
64 8 0 1 3:30
72 9 0 1 4
80 10 0 1 4:30
88 11 0 1 5
96 12 0 1 5:30
104 13 0 1 6
112 14 0 1 6:30
120 15 0 1 7
128 16 0 1 7:30
136 17 0 1 8
139 17 3 1 Code
140 17 4 1 Code
144 18 0 1 8:30
147 18 3 1 YardW
152 19 0 1 9
153 19 1 1 Code
154 19 2 1 Code
155 19 3 1 Code
157 19 5 1 Deutsch
160 20 0 1 9:30
161 20 1 1 Code
162 20 2 1 Code
165 20 5 4 Espanol
168 21 0 1 10
169 21 1 1 Code
170 21 2 1 Code
171 21 3 3 Walk
173 21 5 1 Code
176 22 0 1 10:30
178 22 2 6 Guitar
181 22 5 1 Code
182 22 6 1 Code
184 23 0 1 11
187 23 3 1 HouseW
192 24 0 1 11:30
194 24 2 1 HouseW
195 24 3 1 HouseW
200 25 0 1 12
202 25 2 1 HouseW
204 25 4 2 Bike
205 25 5 1 YardW
208 26 0 1 12:30
210 26 2 1 HouseW
212 26 4 2 Bike
216 27 0 1 13
218 27 2 1 HouseW
220 27 4 2 Bike
224 28 0 1 13:30
232 29 0 1 14
233 29 1 2 Bike
234 29 2 2 Bike
237 29 5 2 Bike
240 30 0 1 14:30
241 30 1 2 Wtrain
242 30 2 2 Bike
245 30 5 2 Bike
248 31 0 1 15
249 31 1 2 Bike
250 31 2 2 Bike
253 31 5 2 Bike
256 32 0 1 15:30
258 32 2 2 Bike
259 32 3 1 HouseW
261 32 5 2 Bike
264 33 0 1 16
272 34 0 1 16:30
280 35 0 1 17
288 36 0 1 17:30
296 37 0 1 18
299 37 3 6 Guitar
300 37 4 1 Code
304 38 0 1 18:30
307 38 3 4 Lang
308 38 4 1 Code
312 39 0 1 19
316 39 4 1 Code
320 40 0 1 19:30
323 40 3 4 Lang
328 41 0 1 20
336 42 0 1 20:30
344 43 0 1 21
352 44 0 1 21:30
354 44 2 1 Code
360 45 0 1 22
362 45 2 1 Code
368 46 0 1 22:30
370 46 2 1 Code
376 47 0 1 23
378 47 2 4 Lang
384 48 0 1 23:30
392 49 0 1 Score
