ASL, SSV, 2,
A,
rows,10,cols,9,
0,0,0,2,0,
1,0,1,1,0,
2,0,2,1,0,
3,0,3,1,0,
4,0,4,1,0,
5,0,5,1,0,
6,0,6,1,0,
7,0,7,1,0,
8,0,8,1,0,
9,1,0,1,0,
10,1,1,1,0,
11,1,2,1,0,
12,1,3,1,0,
13,1,4,1,0,
14,1,5,1,0,
15,1,6,1,0,
16,1,7,1,0,
17,1,8,1,0,
18,2,0,1,0,
19,2,1,2,1,
20,2,2,2,1,
21,2,3,1,0,
22,2,4,1,0,
23,2,5,1,0,
24,2,6,2,1,
25,2,7,1,0,
26,2,8,1,0,
27,3,0,1,0,
28,3,1,2,1,
29,3,2,2,1,
30,3,3,2,1,
31,3,4,1,0,
32,3,5,2,1,
33,3,6,2,1,
34,3,7,1,0,
35,3,8,1,0,
36,4,0,1,0,
37,4,1,2,1,
38,4,2,2,1,
39,4,3,1,0,
40,4,4,2,1,
41,4,5,1,0,
42,4,6,2,1,
43,4,7,1,0,
44,4,8,1,0,
45,5,0,1,0,
46,5,1,2,1,
47,5,2,2,1,
48,5,3,1,0,
49,5,4,2,0,
50,5,5,1,0,
51,5,6,2,1,
52,5,7,1,0,
53,5,8,1,0,
54,6,0,1,0,
55,6,1,2,1,
56,6,2,2,1,
57,6,3,1,0,
58,6,4,1,0,
59,6,5,1,0,
60,6,6,2,1,
61,6,7,1,0,
62,6,8,1,0,
63,7,0,1,0,
64,7,1,2,1,
65,7,2,2,1,
66,7,3,1,0,
67,7,4,1,0,
68,7,5,1,0,
69,7,6,2,1,
70,7,7,1,0,
71,7,8,1,0,
72,8,0,1,0,
73,8,1,1,0,
74,8,2,2,1,
75,8,3,1,0,
76,8,4,1,0,
77,8,5,1,0,
78,8,6,2,1,
79,8,7,1,0,
80,8,8,1,0,
81,9,0,1,0,
82,9,1,1,0,
83,9,2,1,0,
84,9,3,1,0,
85,9,4,1,0,
86,9,5,1,0,
87,9,6,1,0,
88,9,7,1,0,
89,9,8,1,0,
