**
** Site : co_nm_wy
**
2,40:47.469N,105:17.629W,5899F,TL,8U Rch      ,E-W 24G     
4,39:02.128N,104:50.619W,6693F,TA,Aardvark    ,Usaf Aux    
13,39:27.688N,103:56.519W,5498F,T,Agate       ,Town        
24,41:11.159N,106:08.059W,8599F,T,AlbanyTwn   ,Town        
33,40:11.559N,105:31.788W,8697F,T,Allenspark  ,Town        
37,39:13.059N,104:40.809W,6998F,TA,Ambrosich   ,17/35 25T   
46,38:55.189N,105:57.619W,9232F,T,Antero Jct  ,Intersection
64,40:38.489N,104:37.1000W,4987F,TA,Ault?       ,Unknown ??  
66,39:28.298N,106:09.080W,13199F,T,AWOS 18.07  ,118.075 Copm
67,40:01.849N,105:13.549W,5285F,TA,AWOS 18.82  ,118.825 BLDR
71,39:56.459N,105:35.478W,9695F,T,AWOS 24.17  ,124.175 Niwt
72,39:59.999N,105:35.459W,9678F,T,AWOS 34.17  ,134.175 Eldo
73,39:12.599N,104:38.219W,7047F,TA,AWOS 34.37  ,134.375 Kell
87,39:57.908N,105:28.739W,8274F,T,BarkerRes   ,Barker Res  
94,39:57.279N,105:17.739W,7703F,T,BearPk      ,Bear Peak   
98,40:20.429N,104:34.399W,4767F,TA,Beaugh      ,17/35 26G   
107,40:42.240N,104:47.859W,5193F,TA,BellmoreFms ,14/32 30G   
114,40:18.360N,105:04.939W,5023F,T,Berthound   ,Town        
120,39:54.489N,104:07.559W,4882F,TA,Bijou Basin ,08/26 22D   
134,40:03.979N,105:13.749W,5167F,T,BldrRes     ,BLDR Res    
153,40:02.359N,105:13.539W,5285F,TASFH,BOULDER     ,08/26 22.7  
155,39:32.988N,105:02.029W,5446F,TA,Bowen Fms   ,Grass       
156,39:30.599N,106:03.029W,9380F,TL,Breckenridg?,16/34 61D?  
163,40:37.919N,104:19.749W,4869F,TL,Briggsdale  ,Twn/Fields  
168,39:20.109N,106:06.449W,14170F,T,Bross Mt    ,MT Peak     
