# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
2,5751,0,0,0,0,  6074,  6075,  0.00,-14.00,  0.00,  0.00
3,5758,0,0,0,0,  6072,  6072,  0.00,-19.67,  0.00,  0.00
4,5764,0,0,0,0,  6069,  6070,  0.00,-29.67,  0.00,  0.00
5,5771,0,0,0,0,  6066,  6066,  0.00,-24.00,  0.00,  0.00
6,5777,0,0,0,0,  6064,  6064,  0.00,-25.00,  0.00,  0.00
7,5784,0,0,0,0,  6061,  6061,  0.00,-23.33,  0.00,  0.00
8,5790,0,0,0,0,  6059,  6060,  0.00,-21.67,  0.00,  0.00
9,5797,0,0,0,0,  6059,  6060,  0.00,-15.00,  0.00,  0.00
10,5804,0,0,0,0,  6060,  6060,  0.00, -4.00,  0.00,  0.00
11,5810,0,0,0,0,  6060,  6061,  0.00,  2.67,  0.00,  0.00
12,5817,0,0,0,0,  6062,  6062,  0.00,  8.33,  0.00,  0.00
13,5823,0,0,0,0,  6063,  6063,  0.00,  9.00,  0.00,  0.00
14,5830,0,0,0,0,  6063,  6064,  0.00,  9.00,  0.00,  0.00
15,5837,0,0,0,0,  6066,  6066,  0.00, 11.67,  0.00,  0.00
16,5843,0,0,0,0,  6070,  6071,  0.00, 21.67,  0.00,  0.00
17,5850,0,0,0,0,  6080,  6080,  0.00, 50.00,  0.00,  0.03
18,5856,0,0,0,0,  6094,  6095,140.00, 88.33,  0.00,  0.09
19,5863,0,0,0,0,  6117,  6118,197.14,140.67,  0.00,  0.14
20,5869,1,0,0,0,  6199,  6199,200.00,385.67,  0.05,  0.19
21,5876,1,0,0,0,  6360,  6361,200.00,799.00,  0.11,  0.25
22,5883,1,0,0,0,  6588,  6589,200.00,1384.67,  0.17,  0.31
23,5890,1,0,0,0,  6849,  6849,200.00,1857.00,  0.23,  0.36
24,5896,1,0,0,0,  7141,  7141,200.00,2370.33,  0.28,  0.42
25,5903,1,0,0,0,  7481,  7482,200.00,2690.33,  0.33,  0.47
26,5909,1,0,0,0,  7824,  7825,200.00,3088.00,  0.38,  0.53
27,5916,1,0,0,0,  8113,  8114,200.00,2940.33,  0.44,  0.58
28,5923,1,0,0,0,  8444,  8444,200.00,2914.67,  0.50,  0.64
29,5929,1,0,0,0,  8713,  8714,200.00,2668.00,  0.55,  0.69
30,5936,1,0,0,0,  8965,  8965,200.00,2562.33,  0.61,  0.75
31,5942,1,0,0,0,  9171,  9172,200.00,2303.33,  0.66,  0.80
32,5949,1,0,0,0,  9345,  9345,200.00,1903.67,  0.72,  0.86
33,5957,1,0,0,0,  9510,  9510,200.00,1596.00,  0.78,  0.92
34,5964,1,0,0,0,  9702,  9702,200.00,1457.67,  0.84,  0.98
35,5971,1,0,0,0,  9900,  9900,200.00,1526.33,  0.90,  1.00
36,5981,1,0,0,0, 10045, 10046,200.00,1404.00,  0.98,  1.00
37,5988,1,0,0,0, 10075, 10075,200.00,941.33,  1.00,  1.00
38,5996,1,0,0,0, 10115, 10115,200.00,475.67,  1.00,  1.00
39,6003,1,0,0,0, 10157, 10157,200.00,305.67,  1.00,  1.00
40,6010,1,0,0,0, 10307, 10307,200.00,648.33,  1.00,  1.00
41,6018,1,0,0,0, 10529, 10529,200.00,1103.33,  1.00,  1.00
42,6025,1,0,0,0, 10754, 10755,200.00,1626.00,  1.00,  1.00
43,6032,1,0,0,0, 10986, 10987,200.00,1860.33,  1.00,  1.00
44,6039,1,0,0,0, 11250, 11250,200.00,2059.33,  1.00,  1.00
45,6047,1,0,0,0, 11504, 11504,200.00,2051.67,  1.00,  1.00
46,6054,1,0,0,0, 11774, 11774,200.00,2160.33,  1.00,  1.00
47,6061,1,0,0,0, 12051, 12052,200.00,2197.67,  1.00,  1.00
48,6068,1,0,0,0, 12388, 12389,200.00,2525.33,  1.00,  1.00
49,6076,1,0,0,0, 12690, 12691,200.00,2509.00,  1.00,  1.00
50,6083,1,0,0,0, 12998, 12999,200.00,2597.67,  1.00,  1.00
51,6090,1,0,0,0, 13305, 13306,200.00,2512.00,  1.00,  1.00
52,6098,1,0,0,0, 13637, 13638,200.00,2587.00,  1.00,  1.00
53,6105,1,0,0,0, 13891, 13891,200.00,2432.67,  1.00,  1.00
54,6112,1,0,0,0, 14113, 14113,200.00,2189.67,  1.00,  1.00
55,6119,1,0,0,0, 14351, 14351,200.00,2039.67,  1.00,  1.00
56,6127,1,0,0,0, 14531, 14532,200.00,1764.00,  1.00,  1.00
57,6134,1,0,0,0, 14693, 14693,200.00,1592.67,  1.00,  1.00
58,6141,1,0,0,0, 14818, 14819,200.00,1269.67,  1.00,  1.00
59,6148,1,0,0,0, 14957, 14957,200.00,1216.67,  1.00,  1.00
60,6156,1,0,0,0, 15110, 15110,200.00,1136.33,  1.00,  1.00
61,6163,1,0,0,0, 15269, 15269,200.00,1233.33,  1.00,  1.00
62,6170,1,0,0,0, 15460, 15461,200.00,1382.00,  1.00,  1.00
63,6178,1,0,0,0, 15676, 15676,200.00,1539.67,  1.00,  1.00
64,6185,1,0,0,0, 15952, 15952,200.00,1874.00,  1.00,  1.00
65,6192,1,0,0,0, 16260, 16260,200.00,2208.33,  1.00,  1.00
66,6199,1,0,0,0, 16631, 16632,200.00,2728.33,  1.00,  1.00
67,6207,1,0,0,0, 16979, 16980,200.00,2810.00,  1.00,  1.00
68,6214,1,0,0,0, 17323, 17324,200.00,2912.67,  1.00,  1.00
69,6221,1,0,0,0, 17640, 17640,200.00,2758.33,  1.00,  1.00
70,6229,1,0,0,0, 17957, 17957,200.00,2680.67,  1.00,  1.00
71,6236,1,0,0,0, 18191, 18191,200.00,2366.33,  1.00,  1.00
72,6243,1,0,0,0, 18403, 18403,200.00,2066.33,  1.00,  1.00
73,6247,1,0,0,0, 18543, 18544,200.00,1974.00,  1.00,  1.00
74,6252,1,0,0,0, 18655, 18655,200.00,1753.67,  1.00,  1.00
75,6256,1,0,0,0, 18790, 18791,200.00,1823.00,  1.00,  1.00
76,6261,1,0,0,0, 18905, 18906,200.00,1583.00,  1.00,  1.00
77,6266,1,0,0,0, 19050, 19051,200.00,1715.00,  1.00,  1.00
78,6270,1,0,0,0, 19162, 19162,200.00,1600.00,  1.00,  1.00
79,6275,1,0,0,0, 19304, 19305,200.00,1708.00,  1.00,  1.00
80,6279,1,0,0,0, 19424, 19424,200.00,1728.00,  1.00,  1.00
81,6283,1,0,0,0, 19577, 19578,200.00,1933.00,  1.00,  1.00
82,6289,1,0,0,0, 19770, 19771,200.00,2008.33,  1.00,  1.00
83,6294,1,0,0,0, 19899, 19900,200.00,1924.33,  1.00,  1.00
84,6298,1,0,0,0, 20062, 20062,200.00,1974.33,  1.00,  1.00
85,6303,1,0,0,0, 20186, 20186,200.00,1827.00,  1.00,  1.00
86,6307,1,0,0,0, 20339, 20339,200.00,2076.00,  1.00,  1.00
87,6312,1,0,0,0, 20473, 20473,200.00,1797.00,  1.00,  1.00
88,6316,1,0,0,0, 20643, 20644,200.00,2151.00,  1.00,  1.00
89,6321,1,0,0,0, 20782, 20783,200.00,1942.00,  1.00,  1.00
90,6325,1,0,0,0, 20955, 20955,200.00,2271.00,  1.00,  1.00
91,6330,1,0,0,0, 21083, 21083,200.00,1933.00,  1.00,  1.00
92,6334,1,0,0,0, 21238, 21238,200.00,2152.00,  1.00,  1.00
93,6339,1,0,0,0, 21362, 21362,200.00,1783.00,  1.00,  1.00
94,6343,1,0,0,0, 21517, 21517,200.00,2046.00,  1.00,  1.00
95,6348,1,0,0,0, 21643, 21643,200.00,1775.00,  1.00,  1.00
96,6352,1,0,0,0, 21792, 21793,200.00,2024.00,  1.00,  1.00
97,6357,1,0,0,0, 21907, 21908,200.00,1709.00,  1.00,  1.00
98,6361,1,0,0,0, 22045, 22046,200.00,1895.00,  1.00,  1.00
99,6365,1,0,0,0, 22168, 22168,200.00,1765.00,  1.00,  1.00
100,6369,1,0,0,0, 22302, 22302,200.00,1975.00,  1.00,  1.00
101,6374,1,0,0,0, 22442, 22443,200.00,1845.00,  1.00,  1.00
102,6378,1,0,0,0, 22606, 22606,200.00,2050.00,  1.00,  1.00
103,6383,1,0,0,0, 22740, 22741,200.00,1916.00,  1.00,  1.00
104,6387,1,0,0,0, 22910, 22910,200.00,2206.00,  1.00,  1.00
105,6392,1,0,0,0, 23042, 23042,200.00,1914.00,  1.00,  1.00
106,6396,1,0,0,0, 23206, 23207,200.00,2198.00,  1.00,  1.00
107,6401,1,0,0,0, 23335, 23335,200.00,1864.00,  1.00,  1.00
108,6405,1,0,0,0, 23499, 23499,200.00,2156.00,  1.00,  1.00
109,6410,1,0,0,0, 23630, 23631,200.00,1860.00,  1.00,  1.00
110,6414,1,0,0,0, 23790, 23790,200.00,2144.00,  1.00,  1.00
111,6419,1,0,0,0, 23921, 23922,200.00,1848.00,  1.00,  1.00
112,6423,1,0,0,0, 24082, 24083,200.00,2129.00,  1.00,  1.00
113,6428,1,0,0,0, 24210, 24211,200.00,1841.00,  1.00,  1.00
114,6432,1,0,0,0, 24374, 24374,200.00,2137.00,  1.00,  1.00
115,6437,1,0,0,0, 24503, 24504,200.00,1848.00,  1.00,  1.00
116,6441,1,0,0,0, 24668, 24669,200.00,2161.00,  1.00,  1.00
117,6446,1,0,0,0, 24801, 24801,200.00,1873.00,  1.00,  1.00
118,6450,1,0,0,0, 24961, 24962,200.00,2157.00,  1.00,  1.00
119,6455,1,0,0,0, 25092, 25093,200.00,1856.00,  1.00,  1.00
120,6459,1,0,0,0, 25250, 25251,200.00,2114.00,  1.00,  1.00
121,6464,1,0,0,0, 25375, 25375,200.00,1814.00,  1.00,  1.00
122,6468,1,0,0,0, 25529, 25530,200.00,2060.00,  1.00,  1.00
123,6473,1,0,0,0, 25653, 25654,200.00,1766.00,  1.00,  1.00
124,6477,1,0,0,0, 25813, 25814,200.00,2066.00,  1.00,  1.00
125,6482,1,0,0,0, 25939, 25939,200.00,1800.00,  1.00,  1.00
126,6486,1,0,0,0, 26094, 26094,200.00,2079.00,  1.00,  1.00
127,6491,1,0,0,0, 26221, 26222,200.00,1787.00,  1.00,  1.00
128,6496,1,0,0,0, 26379, 26380,200.00,1915.00,  1.00,  1.00
129,6500,1,0,0,0, 26503, 26504,200.00,1760.00,  1.00,  1.00
130,6505,1,0,0,0, 26659, 26660,200.00,1876.00,  1.00,  1.00
131,6509,1,0,0,0, 26782, 26783,200.00,1859.00,  1.00,  1.00
132,6514,1,0,0,0, 26934, 26935,200.00,1847.00,  1.00,  1.00
133,6518,1,0,0,0, 27059, 27060,200.00,1848.00,  1.00,  1.00
134,6523,1,0,0,0, 27213, 27214,200.00,1849.00,  1.00,  1.00
135,6527,1,0,0,0, 27338, 27338,200.00,1866.00,  1.00,  1.00
136,6532,1,0,0,0, 27492, 27493,200.00,1857.00,  1.00,  1.00
137,6536,1,0,0,0, 27614, 27615,200.00,1851.00,  1.00,  1.00
138,6541,1,0,0,0, 27772, 27772,200.00,1858.00,  1.00,  1.00
139,6545,1,0,0,0, 27895, 27896,200.00,1857.00,  1.00,  1.00
140,6550,1,0,0,0, 28045, 28046,200.00,1847.00,  1.00,  1.00
141,6554,1,0,0,0, 28174, 28174,200.00,1860.00,  1.00,  1.00
142,6559,1,0,0,0, 28272, 28272,200.00,1637.00,  1.00,  1.00
143,6563,1,0,0,0, 28401, 28401,200.00,1682.00,  1.00,  1.00
144,6568,1,0,0,0, 28501, 28502,200.00,1437.00,  1.00,  1.00
145,6572,1,0,0,0, 28628, 28628,200.00,1680.00,  1.00,  1.00
