# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
2,76869,0,0,0,0, 26296, 26297,  0.00, 25.00,  0.00, -0.04
3,76874,0,0,0,0, 26303, 26303,  0.00, 53.00,  0.00, -0.04
4,76878,0,0,0,0, 26307, 26307,  0.00, 73.00,  0.00, -0.04
5,76883,0,0,0,0, 26302, 26303,  0.00, 28.00,  0.00, -0.04
6,76887,0,0,0,0, 26297, 26297,  0.00,-25.00,  0.00, -0.04
7,76892,0,0,0,0, 26291, 26292,  0.00,-69.00,  0.00, -0.04
8,76896,0,0,0,0, 26297, 26297,  0.00,-19.00,  0.00, -0.04
9,76901,0,0,0,0, 26308, 26309,132.00, 50.00,  0.00, -0.04
10,76905,0,0,0,0, 26308, 26309,  0.00, 74.00,  0.00, -0.04
11,76910,0,0,0,0, 26302, 26303,  0.00, 20.00,  0.00, -0.04
12,76914,0,0,0,0, 26298, 26298,  0.00,-44.00,  0.00, -0.04
13,76919,0,0,0,0, 26293, 26294,  0.00,-64.00,  0.00, -0.04
14,76923,0,0,0,0, 26297, 26298,  0.00,-20.00,  0.00, -0.04
15,76928,0,0,0,0, 26294, 26294,  0.00,-12.00,  0.00, -0.04
16,76932,0,0,0,0, 26290, 26291,  0.00,-12.00,  0.00, -0.04
17,76937,0,0,0,0, 26297, 26298,  0.00, -4.00,  0.00, -0.04
18,76941,0,0,0,0, 26300, 26300,  0.00, 23.00,  0.00, -0.04
19,76946,0,0,0,0, 26304, 26304,  0.00, 59.00,  0.00, -0.04
20,76950,0,0,0,0, 26302, 26303,  0.00, 21.00,  0.00, -0.04
21,76955,0,0,0,0, 26300, 26300,  0.00, -2.00,  0.00, -0.04
22,76959,0,0,0,0, 26296, 26297,  0.00,-38.00,  0.00, -0.04
23,76964,0,0,0,0, 26293, 26293,  0.00,-40.00,  0.00, -0.04
24,76968,0,0,0,0, 26297, 26298,  0.00,-12.00,  0.00, -0.04
