# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
2,85157,0,0,0,0, 26863, 26863,-200.00,-680.00,  0.00, -1.00
3,85162,0,0,0,0, 26693, 26694,-200.00,-1360.00,  0.00, -1.00
4,85166,2,0,0,0, 26555, 26556,-200.00,-2050.00, -0.03, -1.00
5,85171,2,0,0,0, 26386, 26387,-200.00,-2046.00, -0.08, -1.00
6,85175,2,0,0,0, 26254, 26254,-200.00,-2026.00, -0.11, -1.00
7,85180,2,0,0,0, 26084, 26084,-200.00,-2016.00, -0.15, -1.00
8,85184,2,0,0,0, 25949, 25949,-200.00,-2015.00, -0.18, -1.00
9,85189,2,0,0,0, 25786, 25787,-200.00,-2007.00, -0.23, -1.00
10,85193,2,0,0,0, 25650, 25651,-200.00,-2007.00, -0.26, -1.00
11,85198,2,0,0,0, 25482, 25482,-200.00,-2004.00, -0.30, -1.00
12,85203,2,0,0,0, 25349, 25349,-200.00,-1884.00, -0.34, -1.00
13,85207,2,0,0,0, 25182, 25182,-200.00,-2039.00, -0.38, -1.00
14,85212,2,0,0,0, 25046, 25047,-200.00,-1911.00, -0.42, -1.00
15,85216,2,0,0,0, 24881, 24882,-200.00,-2204.00, -0.45, -1.00
16,85221,2,0,0,0, 24746, 24747,-200.00,-1909.00, -0.49, -1.00
17,85225,2,0,0,0, 24579, 24580,-200.00,-2200.00, -0.52, -1.00
18,85230,2,0,0,0, 24448, 24448,-200.00,-1899.00, -0.57, -1.00
19,85234,2,0,0,0, 24270, 24271,-200.00,-2249.00, -0.60, -1.00
20,85239,2,0,0,0, 24137, 24137,-200.00,-1946.00, -0.64, -1.00
21,85243,2,0,0,0, 23972, 23973,-200.00,-2247.00, -0.68, -1.00
22,85248,2,0,0,0, 23842, 23843,-200.00,-1877.00, -0.72, -1.00
23,85252,2,0,0,0, 23677, 23677,-200.00,-2170.00, -0.75, -1.00
24,85257,2,0,0,0, 23540, 23541,-200.00,-1893.00, -0.79, -1.00
25,85261,2,0,0,0, 23373, 23373,-200.00,-2208.00, -0.83, -1.00
26,85266,2,0,0,0, 23240, 23241,-200.00,-1915.00, -0.87, -1.00
27,85270,2,0,0,0, 23078, 23078,-200.00,-2177.00, -0.90, -1.00
28,85275,2,0,0,0, 22920, 22920,-200.00,-1974.00, -0.94, -1.00
29,85279,2,0,0,0, 22791, 22792,-200.00,-2087.00, -0.98, -1.00
30,85284,2,0,0,0, 22626, 22627,-200.00,-1937.00, -1.00, -1.00
31,85288,2,0,0,0, 22495, 22495,-200.00,-1960.00, -1.00, -1.00
32,85293,2,0,0,0, 22328, 22328,-200.00,-1983.00, -1.00, -1.00
33,85297,2,0,0,0, 22195, 22195,-200.00,-1988.00, -1.00, -1.00
34,85302,2,0,0,0, 22028, 22029,-200.00,-2001.00, -1.00, -1.00
35,85306,2,0,0,0, 21892, 21893,-200.00,-2013.00, -1.00, -1.00
36,85311,2,0,0,0, 21733, 21733,-200.00,-1984.00, -1.00, -1.00
37,85315,2,0,0,0, 21602, 21602,-200.00,-1971.00, -1.00, -1.00
38,85320,2,0,0,0, 21431, 21432,-200.00,-1975.00, -1.00, -1.00
39,85324,2,0,0,0, 21294, 21295,-200.00,-2024.00, -1.00, -1.00
40,85329,2,0,0,0, 21120, 21121,-200.00,-2065.00, -1.00, -1.00
41,85333,2,0,0,0, 20984, 20984,-200.00,-2061.00, -1.00, -1.00
42,85338,2,0,0,0, 20815, 20816,-200.00,-2052.00, -1.00, -1.00
43,85342,2,0,0,0, 20677, 20678,-200.00,-2046.00, -1.00, -1.00
44,85347,2,0,0,0, 20505, 20506,-200.00,-2054.00, -1.00, -1.00
45,85351,2,0,0,0, 20369, 20369,-200.00,-2058.00, -1.00, -1.00
46,85356,2,0,0,0, 20198, 20198,-200.00,-2052.00, -1.00, -1.00
47,85360,2,0,0,0, 20063, 20064,-200.00,-2039.00, -1.00, -1.00
48,85365,2,0,0,0, 19894, 19895,-200.00,-2035.00, -1.00, -1.00
