# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
2,7400,0,0,0,0, 39171, 39171,  0.00,-10.00,  0.00,  0.85
3,7405,0,0,0,0, 39166, 39167,  0.00,-30.00,  0.00,  0.85
4,7409,0,0,0,0, 39159, 39159,-105.00,-65.00,  0.00,  0.85
5,7414,0,0,0,0, 39158, 39158,  0.00,-59.00,  0.00,  0.85
6,7418,0,0,0,0, 39164, 39164,  0.00, -9.00,  0.00,  0.85
7,7423,0,0,0,0, 39169, 39170,  0.00, 46.00,  0.00,  0.85
8,7427,0,0,0,0, 39175, 39176,  0.00, 80.00,  0.00,  0.85
9,7432,0,0,0,0, 39174, 39175,  0.00, 46.00,  0.00,  0.85
10,7436,0,0,0,0, 39168, 39169,  0.00, -4.00,  0.00,  0.85
11,7441,0,0,0,0, 39163, 39163,  0.00,-54.00,  0.00,  0.85
12,7445,0,0,0,0, 39153, 39153,-150.00,-100.00,  0.00,  0.81
13,7450,0,0,0,0, 39149, 39150,  0.00,-86.00,  0.00,  0.77
14,7454,0,0,0,0, 39151, 39151,  0.00,-56.00,  0.00,  0.74
15,7459,0,0,0,0, 39156, 39157,  0.00, 14.00,  0.00,  0.70
16,7463,0,0,0,0, 39161, 39161,  0.00, 55.00,  0.00,  0.66
17,7468,0,0,0,0, 39157, 39157,  0.00, 29.00,  0.00,  0.62
18,7472,0,0,0,0, 39144, 39144,-195.00,-56.00,  0.00,  0.58
19,7477,0,0,0,0, 39136, 39136,  0.00,-113.00,  0.00,  0.55
20,7481,0,0,0,0, 39135, 39136,  0.00,-102.00,  0.00,  0.51
21,7486,0,0,0,0, 39146, 39146,132.00,  7.00,  0.00,  0.55
22,7490,0,0,0,0, 39161, 39162,200.00,114.00,  0.00,  0.58
23,7496,1,0,0,0, 39156, 39156,  0.00,102.33,  0.00,  0.58
24,7501,0,0,0,0, 39143, 39144,-156.00,  6.33,  0.00,  0.54
25,7505,0,0,0,0, 39131, 39131,-180.00,-128.67,  0.00,  0.50
26,7510,2,0,0,0, 39132, 39132,  0.00,-108.00,  0.00,  0.46
27,7514,0,0,0,0, 39147, 39148,200.00, 19.00,  0.00,  0.50
28,7519,0,0,0,0, 39159, 39159,144.00,127.00,  0.00,  0.54
29,7524,1,0,0,0, 39159, 39160,  0.00,123.00,  0.00,  0.54
30,7528,0,0,0,0, 39148, 39149,-165.00, -7.00,  0.00,  0.54
