#date            RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
01/06/2023	 56 	87.90 	140.74 	12.1 	67.17 	1511
01/07/2023	 77 	88.83 	219.66 	15.2   	94.70 	2069
01/21/2023        64 	53.59 	255.13 	17.6 	62.25 	1730
#date            RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
04/21/2023        22 	      41.52 	14.03 	0.8 	      42.06 	601
04/22/2023        49 	      96.61 	9.00 	0	    104.41 	1336
04/23/2023        34 	      51.86 	39.57 	7.9 	     49.21 	        915
#date May     RDI(%)     Fat 	       Carbs 	Fiber 	Prot 	Cals
05/14/2023	 15 	     17.83 	       10.37 	2.6 	      51.46 	412
05/15/2023	 28 	     47.33 	       28.13 	2.9 	      53.63 	761
05/16/2023	 15 	     18.34 	       33.28 	4.2 	      28.96 	413
05/17/2023	 18 	     23.67 	      10.71 	5.6 	      56.25 	494
05/18/2023	 33 	     54.47 	      15.61 	3.9 	      78.29 	884
05/19/2023  	 51 	     60.97 	      83.39 	6.2 	      106.67 	1383
05/20/2023	 35 	     42.05 	      42.56 	3.5 	      92.41 	935
05/21/2023	 39 	      63.62 	      75.67 	6.6 	      45.47 	1046
05/22/2023	 42 	48.67 	109.86 	14.5 	67.58 	114
#date July           RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
07/25/2023	   11 	      16.53 	17.14 	1.2 	22.66 	306
07/26/2023          38 	       54.57 	42.51 	7.0 	89.56 	1013
07/27/2023          24 	       27.87 	59.52 	5.8 	40.03 	641
07/28/2023          29 	       38.82 	31.03 	7.8 	74.17 	772
07/29/2023	    35 	50.57 	45.55 	3.1 	74.86 	947
07/30/2023          59 	68.60 	181.16 	4.6 	61.15 	1581
07/31/2023	    45 	59.67 	29.74 	9.2 	133.38 	1222
#date Aug           RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
08/01/2023          37 	35.92 	77.67 	10.0 	86.54 	987
08/13/2023	   24 	31.96 	32.15 	4.8 	      55.00 	637
08/14/2023 	   22 	12.48 	12.23 	1.5 	     101.03 	582
08/15/2023	   3 	       4.38 	        5.94 	0.6    	0.90 	69
08/16/2023         18 	      29.02 	24.25 	4.1 	      30.02 	488
08/17/2023         41 	      75.58 	19.37 	8.6 	      76.38 	1097
08/18/2023         25 	     28.90 	       32.56 	10.6 	65.57 	668
08/19/2023	   25 	34.18 	20.12 	2.6 	      69.83 	685
08/20/2023	   35 	57.14 	27.17 	4.1 	      81.47 	953
08/21/2023	   21 	30.51 	33.55 	5.6 	      40.86 	561
08/22/2023	   20 	30.51 	39.16 	5.2 	      32.00 	544
08/23/2023	   19 	27.64 	12.86 	3.6 	     50.98 	        512
08/24/2023	   41 	42.93 	69.43 	11.9 	110.31 	1111
08/25/2023          18 	25.40 	24.73 	5.6 		43.22 	494
08/26/2023	    33 	56.46 	30.52 	5.0 		68.37 	895
08/27/2023	    19 	24.36 	19.27 	3.0 		54.09 	514
08/28/2023	    	   39 	76.99 	26.62 	5.2 	       67.94 	1063
08/29/2023		   38 	51.32 	30.60 	4.9 	109.78 	1034
08/30/2023 		   64 	115.19 	31.54 	16.4 	141.66 	1720
08/31/2023		   25 	20.82 	90.68 	5.5 	26.69 	669
#date Aug           RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
09/01/2023		   37 	73.02 	33.74 	7.4 	55.24 	1011
09/02/2023		   22 	26.16 	54.91 	7.5 	37.03 	603
09/03/2023		   57 	75.30 	55.81 	7.5 	153.75 	1540
09/04/2023		   52 	67.02 	46.38 	12.1 	152.85 	1414
09/05/2023 		   58 	65.98 	28.06 	11.3 	206.92 	1564
09/06/2023		   23 	31.29 	38.90 	7.2 	        47.01 	608
09/07/2023		   58 	61.97 	85.38 	15.5 	162.74 	1559
09/08/2023		   51 	68.93 	45.44 	11.5 	138.82 	1371
09/09/2023		   31 	49.45 	30.65 	10.4 	70.36 	842
09/10/2023		   50 	76.96 	101.53 	11.7 	63.56 	1357
09/11/2023		   43 	48.07 	55.68 	8.1 	120.80 	1156
09/12/2023		   52 	73.02 	41.57 	4.5 	135.35 	1392
09/13/2023		   34 	41.85 	38.25 	6.6 	99.42 	930
09/14/2023		   54 	59.40 	108.33 	8.0 	99.50 	1462
09/15/2023		   35 	48.83 	62.36 	9.7 	65.27 	941
09/16/2023		   52 	69.00 	117.18 	16.1 	81.72 	1401
09/17/2023		   29 	42.99 	32.88 	8.4 	66.06 	778
09/18/2023		   37 	57.76 	53.18 	9.3 	70.24 	1009
09/19/2023                  55 	75.74 	91.72 	10.1 	105.63 	1479
09/22/2023		   68 	95.84 	79.56 	9.5 	157.19 	182
09/23/2023		   54 	75.14 	91.78 	7.6 	98.39 	1446
09/24/2023		   54 	66.01 	87.05 	5.5 	123.44 	1456
09/25/2023		   34 	44.43 	96.19 	10.4 	44.87 	923
09/26/2023		   29 	26.97 	77.19 	5.4 	53.13 	774
09/27/2023		     54 	57.42 	166.07 	14.3 	71.33 	1470
09/29/2023		     39 	45.30 	123.16 	7.3 	40.39 	1059
09/30/2023		     39 	36.42 	120.16 	5.7 	36.13 	1054
#date Oct                   RDI(%)   Fat 	        Carbs 	Fiber 	Prot 	Cals   
10/01/2023             	     42 	89.75 	12.24 	3.4 	       70.25 	1147
10/02/2023 		     26 	38.50 	11.98 	2.2 	       73.82 	692
10/03/2023		     37 	66.82 	29.15 	8.1 	      68.57 	994
10/04/2023		     37 	65.56 	23.96 	4.8 	     82.98 	       1012
10/05/2023		     40 	67.50 	48.17 	9.5 	72.05 	       1069
10/06/2023		     34 	60.45 	33.08 	4.6 	64.98 	       931
