day,      time,  distance,
10/17/2012,  17:55, 0.5,
10/18/2012,  14:42,  0.5,
10/19/2012,  12:29, 0.5,
10/20/2012,  11:55, 0.5,
10/21/2012,  11:15, 0.5,
10/22/2012,  17:38, 0.76,
10/23/2012,  23:42, 0.95,
10/24/2012,  31:0,  1.3,
10/25/2012,  33:0,  1.46,
10/26/2012,  39:0,  1.70,
10/27/2012,  51:0,  2.05,
10/28/2012,  48:37,  2.05,                         
10/29/2012,  48:14,  2.05,
10/30/2012,  46:30,  1.86
10/31/2012,  46:30,  1.86
11/01/2012,  31:30,  1.0
11/02/2012,  31:30,  1.2
11/03/2012,  31:30,  1.2
11/04/2012,  26:30,  1.0
11/04/2012,  22:30,  1.1
11/05/2012,  22:30,  1.0
11/06/2012,  30:00,  1.36

