Date         	Weight	Walk	Hike	Run	Bike	Swim	Yard	Gym	Bpress	Tags	
01/01/2019	208.0	130	0	0	0	0	0	5	0		
01/02/2019	209.0	10	0	10	0	0	0	65	0		
01/03/2019	209.0	90	0	0	0	0	0	10	0		
01/04/2019	210.0	20	0	0	0	0	0	60	225		
01/05/2019	207.2	10	0	0	150	0	0	5	0		
01/06/2019	207.2	90	0	0	0	0	0	0	0		
01/07/2019	208.0	30	0	0	0	0	0	45	225		
01/08/2019	208	140	0	0	0	0	0	0	0		
01/09/2019	208	90	0	0	0	0	0	0	0		
01/11/2019	208	90	0	0	0	0	0	0	0		
01/10/2019	208	30	0	0	0	0	0	60	235		
01/12/2019	208	90	0	0	0	0	0	0	0		
01/13/2019	208	180	0	0	0	0	0	0	0		
01/14/2019	208	30	45	0	0	0	0	0	0		
01/15/2019	208	60	0	0	0	0	0	0	0		
01/16/2019	208	40	0	0	0	0	0	40	225		
01/17/2019	208	80	0	0	0	0	0	0	0		
01/18/2019	208	80	0	0	0	0	0	0	0		
01/19/2019	208	80	0	0	0	0	0	0	0		
01/20/2019	208	80	0	0	0	0	0	0	0		
01/21/2019	208	80	0	0	0	0	0	0	0		
01/22/2019	208	80	0	0	0	0	0	0	0		
01/23/2019	208	80	0	0	0	0	0	0	0		
01/24/2019	208	80	0	0	0	0	0	0	0		
01/25/2019	208	80	0	0	0	0	0	0	0		
01/26/2019	208	10	0	0	0	0	0	0	0		
01/27/2019	208	80	0	0	0	0	0	0	0		
01/28/2019	210	80	0	0	0	0	0	0	0		
01/29/2019	210	80	0	0	0	0	0	0	0		
01/30/2019	210	80	0	0	0	0	0	0	0		
01/31/2019	210	20	0	0	0	0	0	40	225		
02/01/2019	210	40	0	0	0	0	0	0	0		
02/02/2019	210	80	0	0	0	0	0	0	0		
02/03/2019	210	80	0	0	0	0	0	0	0		
02/04/2019	210	90	0	0	0	0	0	0	0		
02/05/2019	210	90	0	0	0	0	0	0	0		
02/06/2019	210	80	0	0	0	0	0	0	0		
02/07/2019	210	40	0	0	0	0	0	40	225		
02/08/2019	210	45	0	0	0	0	0	40	225		
03/31/2019	217	60	0	0	0	0	0	40	225		
04/01/2019	217	60	0	0	0	0	0	40	225		
04/02/2019	217	30	0	0	0	0	0	40	200		
04/03/2019	215.2	10	0	0	90	0	0	0	0		
04/04/2019	215.2	60	0	0	0	0	0	0	0		
04/05/2019	215.2	10	60	0	0	0	0	0	0		
04/06/2019	215.2	15	0	0	0	0	0	0	0		
04/07/2019	213.2	15	0	0	120	0	0	0	0		
04/08/2019	213.0	15	0	0	100	0	0	0	0		
04/09/2019	211.2	30	0	0	120	0	0	40	225		
04/13/2019	214.0	60	0	0	0	0	0	0	0		
04/15/2019	214.0	10	0	0	90	0	0	0	0		
04/17/2019	213	30	0	0	90	0	0	30	225		
04/19/2019	214	60	0	0	0	0	0	0	0		
04/20/2019	212.6	10	0	0	120	0	0	0	0		
04/22/2019	212.6	10	60	0	0	0	0	0	0		
04/24/2019	212.6	10	60	0	0	0	0	0	0		
04/25/2019	212.6	30	0	0	0	0	0	30	235		
04/26/2019	212.6	30	0	0	0	0	0	30	245		
04/27/2019	211.4	10	0	0	90	0	0	0	0		
04/28/2019	211.4	80	0	0	0	0	0	0	0		
04/29/2019	211.4	15	0	0	30	0	0	30	245		
04/30/2019	213.0	15	0	0	30	0	0	30	245		
05/01/2019	213.0	60	0	0	0	0	0	0	0		
05/02/2019	213.0	60	0	0	0	0	0	0	0		
05/03/2019	213.0	60	0	0	0	0	0	0	0		
05/04/2019	213.0	60	0	0	0	0	0	0	0		
05/05/2019	212.0	15	0	0	130	0	0	0	0		
05/06/2019	208.8	15	0	0	90	0	0	20	0		
05/07/2019	208.8	15	0	0	0	0	0	0	0		
05/08/2019	208.8	15	0	0	0	0	0	0	0		
05/09/2019	210.0	15	0	0	30	0	0	40	225		
05/10/2019	210.0	15	0	0	30	0	0	40	225		
05/11/2019	209.6	15	0	0	130	0	0	0	0		
05/12/2019	208.2	15	0	0	130	0	0	0	0		
05/13/2019	207.4	15	0	0	90	0	0	0	0		
05/14/2019	207.2	15	0	0	90	0	0	0	0		
05/15/2019	207.2	65	0	0	0	0	0	0	0		
05/16/2019	209.0	15	0	0	0	0	0	40	245		
05/17/2019	209.0	40	0	0	0	0	0	40	245		
05/18/2019	209.0	40	0	0	90	0	0	0	0		
05/19/2019	209.0	40	0	0	0	0	0	0	0		
05/20/2019	209.0	20	0	0	0	0	0	0	0		
05/21/2019	209.0	40	0	0	0	0	0	40	245		
05/22/2019	209.0	40	0	0	0	0	0	40	255		
05/25/2019	209.0	10	0	0	60	0	0	0	0		
05/26/2019	209.0	10	0	0	90	0	0	0	0		
05/27/2019	209.0	10	0	0	60	0	0	0	0		
06/01/2019	212.0	10	0	0	60	0	0	0	0		
06/02/2019	210.0	10	0	0	90	0	0	0	0		
06/03/2019	210.0	70	0	0	0	0	0	0	0		
06/04/2019	210.0	70	0	0	0	0	0	0	0		
06/05/2019	210.0	10	0	0	0	0	0	0	0		
06/15/2019	211.0	15	0	0	130	0	0	0	0		
06/16/2019	209.2	15	0	0	150	0	0	0	0		
06/17/2019	209.2	75	0	0	0	0	0	0	0		
06/18/2019	209.2	15	0	0	25	0	0	0	0		
06/19/2019	210.2	15	0	0	0	0	0	0	0		
06/20/2019	210.2	15	0	0	165	0	0	0	0		
