#Date            Weight           W    H       R       B        S      Y     G       P Tags
01/01/2023     208.2           228	  0        0       0     0     0     0      0
01/02/2023     208.2           109	  0        0       0     0     0     0      0
01/03/2023     208.2           136	  0        0       0     0     0     30     200
01/04/2023     208.2             93	  0        0       0     0     0     0      0
01/05/2023     208.2             95	  0        0       0     0     0     0      0
01/06/2023     208.2             79	  0        0       0     0     0     0      0
01/07/2023     208.2            120	  0        0       0     0     0     5      0
01/08/2023     208.2             110	  0        0       0     0     0     0      0
01/09/2023     208.2             96	  0        0       0     0     0     0      0
01/10/2023     208.2            119	  0        0       0     0     0     0      0
01/11/2023     209.2            145	  0        0       0     0     0     30      200
01/12/2023     209.2             97	  0        0       0     0     0     30      205
01/13/2023     209.2             95	  0        0       0     0     0     30      205
01/14/2023     209.2             96	  0        0       0     0     0     15      205
01/15/2023     209.2             90	  0        0       0     0     0     0      0
01/16/2023     209.2             93	  0        0       0     0     0     30     205
01/17/2023     209.2             106	  0        0       0     0     0     0      0
01/18/2023     209.2             51	  0        0       0     0     0     0      0
01/19/2023     209.2             127	  0        0       0     0     0     0      0
01/20/2023     209.2             103	  0        0       0     0     0     30      205
01/21/2023     210.4             120	  0        0       0     0     0     30     205
#01/22/2023     210.4             60	  0        0       0     0     0     30     20
#Date            Weight           W    H       R       B        S      Y     G       P Tags
02/01/2023     210.4             67	  0        0       0     0     0     0     0
02/02/2023     210.4             120	  0        0       0     0     0     0     0
02/03/2023     210.4             129	  0        0       0     0     0     0     0
02/04/2023     210.4             94	  0        0       0     0     0     0     0
02/05/2023     210.4             65	  0        0       0     0     0     0     0
#Date            Weight           W    H       R       B        S      Y     G       P Tags
03/05/2023     210.4             65	  0        0       0     0     0     0     0
#Date            Weight           W    H       R       B        S      Y     G       P Tags
04/09/2023     210.4             65	  0        0       0     0     0     0     0
04/20/2023     210.4             65	  0        0       0     0     0     0     0
04/21/2023     209.4             120  0        0       0     0     0     0    15  120
04/22/2023     205.9             130  0        0       0     0     0     0    0
04/23/2023     205.4             125  0        0       0     0     0     0    10    120
04/24/2023     205.5             125  0        0       0     0     0     0    0
04/25/2023     207.5              50  0        0       0     0     0     0    0
04/26/2023     208.5              50  0        0       0     0     0     0    0
04/27/2023     208.5              50  0        0       0     0     0     0    0
#Date            Weight           W    H       R       B     S     Y    G     P Tags
05/14/2023         208.5          50   0       0       0     0     0     10    0
05/15/2023         206.6          50   0       0       0     0     0     10    0
05/16/2023         205.9          150   0       0       0     0     0   10    120
05/17/2023         204.3          160   0       0       0     0     0   10    120
05/18/2023         202.8          43   0       0       0     0     0     10    120
05/19/2023         202.5          160   0       0       0     0     5     5    120
05/20/2023         203.4           45   0       0       0     0     0   0   0
05/21/2023         203.4           40   0       0       0     0     0   0   0
05/22/2023         203.4           40   0       0       0     0     0   0   0
05/23/2023         203.8           40   0       0       0     0     0   0   0
05/24/2023         203.8           40   0       0       0     0     0   0   0
05/25/2023         203.8           40   0       0       0     0     0   0   0
05/26/2023         203.8           40   0       0       0     0     20   0   0
