#Date            Weight           W    H       R       B     S     Y    G     P  HIT Tags
01/01/2025   205.0               35    0      0       0    0      0    0     0
01/17/2025   198.0               65    0      0       0    0      0    0     0
01/18/2025   197.0               65    0      0       0    0      0    0     0
01/19/2025   195.3               65    0      0       0    0      0    0     0
01/20/2025   192.6               65    0      0       0    0      0    0     0
01/21/2025   191.3               65    0      0       0    0      0    0     0
01/22/2025   191.3               65    0      0       0    0      0    0     0
01/23/2025   191.8               65    0      0       0    0      0    0     0
01/24/2025   189.8               65    0      0       0    0      0    0     0
01/25/2025   192.0               65    0      0       0    0      0    0     0
01/26/2025   193.0               65    0      0       0    0      0    0     0
01/29/2025   190.5               65    0      0       0    0      0    0     0
01/30/2025   193               65    0      0       0    0      0    0     0
01/31/2025   195               65    0      0       0    0      0    0     0
#Date            Weight           W    H       R       B     S     Y    G     P  HIT Tags
02/01/2025       195.0           20    0      0      0    0      0    0     0
02/02/2025       195.0           90    0      0      0    0      0    5     0
02/03/2025       193.0           60    0      20      0    0      0    23     0  11
02/04/2025       193.0           100    0      0      0    0      0    0     0  0
02/05/2025       192.5           15    0      0      0    0      0    0     0  0
02/19/2025       191.3           60    0      0      0    0      0    0     0  0
02/20/2025       190.3           60    0      0      0    0      0    0     0  0
02/21/2025       190.5           60    0      0      0    0      0    0     0  0
02/24/2025       190.0           60    0      0      0    0      0    30    170  1
02/25/2025       188.9           60    0      0      0    0      0    30    170  1
02/26/2025       189.1           60    0      0      0    0      0    30    170  1
02/27/2025       187.8           60    0      0      0    0      0    30    170  1
#Date            Weight           W    H       R       B     S     Y    G     P  HIT Tags
11/30/2025       205.8           30    0      0      0    0      0      0     0  0
12/01/2025       202.8           30    0      0      0    0      0      0     0  0
12/02/2025       198.3           90    0      0      0    0      0      0     0  0
12/03/2025       195.8           120    0      0      0    0      0      0     0  0
12/04/2025       193.7           120    0      0      0    0      0      0     0  0
12/05/2025       191.5           90	0      0      0    0      0      0     0  0
12/06/2025       191.4           50	0      0      0    0      0      0     0  0
12/07/2025       194.4           90	0      0      0    0      0      0     0  0
12/08/2025       196.4           30	0      0      0    0      0      0     0  0
12/09/2025       197.0           30	0      0      0    0      0      0     0  0
12/10/2025       198.0           30	0      0      0    0      0      0     0  0
12/11/2025       199.0           30	0      0      0    0      0      0     0  0
12/12/2025       200.0           90	0      0      0    0      0      0     0  0
12/13/2025       195.4           120	0      0      0    0      0      0     0  0
12/14/2025       193.6           100	0      0      0    0      0      0     0  0
12/15/2025       193.0           120	0      0      0    0      0      0     0  0
12/16/2025       190.9           130	0      0      0    0      0      20    0  0
12/17/2025       191.9           90	0      0      0    0      0      30    140  0
12/18/2025       193.5           90	0      0      0    0      0      30    150  0
12/19/2025       194.0           90	0      0      0    0      0      10    0  0
12/20/2025       194.0           90	0      0      0    0      0      10    0  0
12/21/2025       196.0           90	0      0      0    0      0      10    0  0
12/22/2025       196.0           90	0      0      0    0      0      10    0  0
12/23/2025       199.0           90	0      0      0    0      0      30    165 0
12/24/2025       200.0           90	0      0      0    0      0      0     0 0
12/25/2025       202.0           90	0      0      0    0      0      0     0 0
12/26/2025       201.0           90	0      0      0    0      0      0     0 0
12/27/2025       197.5           30	0      0      120    0      0      0     0 0
12/28/2025       195.1           125	0      0      0    0      0      0     0 0
12/29/2025       194.3           0	0      0      0    0      0      0     0 0


#Date            Weight           W    H       R       B     S     Y    G     P  HIT Tags

