### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 AFAcad      	AFF	38,58.17,N	104,48.80,W	6572	08/26	121.25	TA 
 AaR         	WY11	41,09.50,N	106,33.45,W	7880	_	_	TA 
 Alamogor    	alm	32,50.40,N	105,59.40,W	1000	_	_	T 
 Alamosa     	ALS	37,26.10,N	105,51.90,W	7536    02/20	122.8	TA 
 AlbquerS    	ABQ	35,02.42,N	106,36.55,W	5352	03/21	_	TAV 
 Alliance    	AIA	42,03.18,N	102,48.22,W	3930	08/26	123.0	TA 
 AngelFire    	AXX	36,24.75,N	105,18.00,W	8383	17/35	122.8	TA 
 Aspen       	ASE	39,13.38,N	106,52.13,W	8048	15/33	118.85	TA 
 Atwood-R    	ADT	39,50.40,N	101,02.52,W	2991	03/21	_	TAV 
 Ault        	        alt	40,38.50,N	104,37.00,W	4990	_	_	TA 
 Aurora      	01V	39,43.98,N	104,39.30,W	5680	08/26	_	TAV 
 Austin      	aus	30,17.91,N	97,42.10,W	632	17/35	_	TAV 
 Avion       	3V6	38,51.12,N	106,55.97,W	8980	11/29	_	TA 
 Aztec       	Q19	36,50.08,N	108,01.70,W	5877	04/22	_	TAV 
 BacaGran    	bca	37,57.85,N	105,46.67,W	7700	_	_	TL 
 BakersA     	5NE6	40,15.00,N	101,06.03,W	2950	_	_	TAV 
 Barber      	CO89	38,46.37,N	108,02.65,W	5050	17/35	_	TAV 
 Base        	bse	38,23.08,N	105,46.22,W	7001	_	_	TA 
 Beaugh      	9CO7	40,20.43,N	104,34.40,W	4770	17/35	_	TAV 
 BellamyF    	27KS	39,07.73,N	101,43.00,W	3650	13/31	_	TA 
 Bellmore    	1CO3	40,42.25,N	104,47.87,W	5225	14/32	_	TA 
 BijouBas    	CD17	39,54.50,N	104,07.57,W	4885	08/26	_	TAV 
 Billings    	bil	45,48.40,N	108,32.40,W	3649	_	_	T 
 Black       	5KS9	39,49.55,N	101,21.77,W	3345	17/35	_	TAV 
 Blackhaw    	bhk	39,48.00,N	105,29.00,W	9000	_	_	T 
 BlancaA     	05V	37,24.62,N	105,33.25,W	7720	03/21	_	TA 
 Boulder     	1V5	40,02.37,N	105,13.55,W	5288	08/26	122.7	TA 
 BldrDrv     	bdi	40,03.40,N	105,16.90,W	5500	_	_	T 
 Bonny       	CO25	39,38.22,N	102,10.77,W	3755	15/33	_	TAV 
 Breckenr    	CO11	39,30.28,N	106,02.98,W	9400	16/34	_	TA 
 Bressler    	5K0	39,44.55,N	101,33.35,W	3489	08/26	_	TA 
 Briggsda    	6V9	40,38.00,N	104,19.50,W	5000	16/34	_	TL 
 Brighton    	CO12	39,58.98,N	104,42.28,W	5055	12/30	_	TAV 
 BrokenBow    	BBW	41,26.18,N	99,38.5,W	2547	14/32	122.8	TAV 
 BrushA      	7V5	40,15.83,N	103,34.87,W	4281	07/25	_	TA 
 BuckleyA    	BKF	39,42.60,N	104,45.48,W	5663	14/32	_	TAV 
 BuenaVis    	7V1	38,49.00,N	106,07.27,W	7945	15/33	122.8	TAV 
 Buffalo     	byg	44,22.80,N	106,43.20,W	4967	_	_	T 
 Buford      	buf	41,07.00,N	105,18.00,W	7500	_	_	T 
