date,Wt,walk,hike,run,bike,swim,Ydwk,Exer,Bpress,armcurl,
01/01/2018,204,62.0,0,0,0.0,0,0,0,0,25,
01/02/2018,204,10.0,0,0,0.0,0,0,0,0,,
01/03/2018,204,60.0,0,0,0.0,0,0,0,0,,
01/04/2018,202,35.0,0,0,0.0,0,0,30,100,25,
01/05/2018,201,35.0,0,0,0.0,0,0,30,100,25,
01/06/2018,201,60.0,0,0,0.0,0,0,2,0,,
01/08/2018,201,45.0,0,0,0.0,0,0,2,0,,
01/09/2018,201,60.0,0,0,0.0,0,0,0,0,,
01/11/2018,201,30.0,0,0,0.0,0,0,30,100,25,
01/12/2018,202,65.0,0,0,0.0,0,0,30,100,25,
01/19/2018,201,10.0,0,0,50.0,0,0,30,120,25,
01/20/2018,200,10.0,0,0,130.0,0,0,0,0,,
01/21/2018,200,50.0,0,0,0.0,0,0,0,0,,
01/22/2018,201,60.0,0,0,0.0,0,0,0,0,,
01/24/2018,201,60.0,0,0,0.0,0,0,40,120,25,
01/25/2018,203,60,0,0,0,0,0,0,130,25,
