#date            RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
06/30/2021     50 	       56.50 	61.47 	10.2 	148.70 	1362
07/01/2021     56 	       71.42 	82.47 	10.2 	129.19 	1500
07/02/2021     53 	      93.02 	84.05 	8.2 	        60.16 	1420
07/03/2021      0               0               0              0               0              0
07/04/2021      0               0               0              0               0              0
07/05/2021      0               0               0              0               0              0
#
08/01/2021     26 	     40.80 	      19.02 	2.7 	         63.17 	698
08/02/2021     32 	     40.58 	      51.15 	13.8 	79.79 	863
08/03/2021     33 	     43.85 	      47.13 	8.1 	        78.76 	888
08/04/2021     45 	     56.42 	      95.40 	11.6 	77.72 	1205
08/05/2021     53 	     85.27 	      70.31 	5.8    	98.23 	1444
08/06/2021     51 	     80.70 	      85.82 	9.1 	        77.46 	1375
08/07/2021     43 	     47.17 	     89.72 	        5.7 	       72.94 	1169
08/08/2021     32 	     43.11 	     69.43 	        2.7 	       48.31 	863
08/09/2021     36 	     53.52 	    65.24    	9.9 	      61.98 	984
08/10/2021     16 	     18.87 	     31.66 	        2.0 	      11.49 	422
08/11/2021     16 	     20.46 	       14.03 	1.0 	      48.51 	437
08/12/2021     33 	46.58 	47.36 	4.5 	52.78 	883
08/13/2021     41 	65.26 	52.66 	9.5 	64.28 	1120
08/14/2021     42 	74.15 	61.98 	7.5 	58.79 	1139
08/15/2021     56 	89.18 	79.47 	8.5 	81.77 	1502
08/16/2021     36 	57.80 	59.23 	5.0 	51.17 	961
08/17/2021     32 	53.35 	47.23 	2.9 	47.05 	863
08/18/2021     45 	69.27 	68.36 	7.8 	73.50 	1202
08/19/2021     46 	57.78 	73.24 	7.8 	88.67 	1237
08/20/2021     39 	42.65 	101.34 	13.7 	65.81 	1043
08/21/2021     48 	69.97 	70.31 	5.4 	        94.03 	1289
08/22/2021     84 	118.89 	177.24 	15.5 	134.99 	2262
08/24/2021     40 	55.55 	72.50 	11.4 	72.79 	1072
08/27/2021     44 	47.91 	122.27 	10.1 	42.68 	1179
#
11/12/2021	62 	89.54 	129.44 	14.1 	86.88 	1683
11/13/2021    43 	47.60 	140.08 	9.1 	42.22 	1167
11/14/2021     45 	39.94 	177.84 	6.7 	       37.62 	1218
11/15/2021     71 	56.20 	210.63 	14.3 	111.53 	1929
11/16/2021     46 	55.49 	117.89 	9.7 	63.13 	1238
11/17/2021     76 	61.46 	230.47 	25.3 	117.60 	2059
11/18/2021     98 	157.17 	203.70 	14.2 	104.77 	2647
11/19/2021     61 	91.71 	125.05 	5.4 	79.86 	1642
11/22/2021     88 	126.70 	160.32 	12.5 	144.85 	2377

  
