# date     wt    Aexm  etype   crbcnt   Wt
08/03/06   200   5    _  	35
08/10/06   197   5    _  	35
08/17/06   195   25   C  	35
08/18/06   194   25   C  	40
08/19/06   193.8   5    _  	30
08/20/06   193.8   25    C  	40
08/21/06   193.4   25    C  	40
08/22/06   192.0   23    C  	40
08/23/06   192.8   34    C  	40
08/24/06   193.2   35    C  	100
08/25/06   193.4   62    C  	50
08/26/06   193.8   85    C  	230
08/27/06   193.8   5    C  	230
08/30/06   195.0   5    C  	230
08/31/06   195.8   33    C  	230
09/01/06   195.8   80    C  	200
09/03/06   195.4   70    C  	60
09/04/06   194.2   80    C  	50
09/05/06   193.8   80    C  	100
09/06/06   193.8   32    C  	100     20  
09/07/06   194.4   60    C  	100     40  
09/08/06   193.8   0    C  	250     35  
09/9/06    194.5   140    C  	150      5  
09/10/06   193.4   140    C  	150      5  
09/11/06   193.4   30    M  	120      45  
09/12/06   192.8   160    C  	150      5  
09/13/06   192.0   140    C  	200      5  
09/14/06   192.0   30    M  	200      25  
09/15/06   195.0   5    M  	250      25  
09/17/06   195.0   150    C  	250      5  
