Task,Code,Priority,PercentDone,Start_date,Update,Date2finish,Tags,
20lb loss,X,7,5,12/29/25,xx,1/24/25, ,
audio r/p,C_ASR,5,10,1/16/18,xx,1/20/18, ,
songs2play list,M,6,5,1/12/18,xx,1/14/18, ,
tidy garage,Y,3,0,01/13/2018,xx,1/31/18, ,
code planner,C_TOOLS,7,85,1/12/18,1/16/18,1/14/18, ,
design Rec net,C_ASR,6,0,1/20/18,1/20/18,1/31/18, ,
one mile,X,6,25,1/16/18,1/16/18,1/31/18, ,
plane currency,F,5,100,01/13/2018,xx ,1/17/18, ,
test abc nets,C_I,5,0,01/13/2018,xx,1/14/18, ,
tidy barn,H_B,3,1,01/13/2018,xx,1/25/18, ,
update ASLMAN,C_D,3,0,01/13/2018,xx,1/20/18, ,
spanish tenses,L,5,5,01/13/2018,xx ,1/20/18, ,
tidy workshop,Y,3,1,1/12/18,xx,1/31/18, ,
s2d,ASR,6,10,01/22/2018,01/22/2018,31/1/18, ,
